"","bh-31","bh-32","bh-33","bh-35","bh-36","ws-PPC","ws-PPB","bh-34","bh-37","ws-23","ws-A5","ws-A3","ws-A1","ws-15A","ws-15","bh-7","bh-9","bh-11","bh-12","bh-13","bh-6","bh-5","bh-1","bh-10","bh-8","bh-20","bh-17","bh-21","bh-22","bh-18","ws-25","ws-K","ws-25B","ws-18","bh-23","bh-30","bh-29","bh-28","bh-27","bh-25","bh-24","bh-2","ws-4","ws-PVTSS","ws-13","ws-6","ws-12A","ws-11","ws-16","ws-25A","ws-14","ws-2C","bh-16","bh-26","bpns-O6","bh-14","bh-15","rel_leopoldkanaal8","rel_leopoldkanaal9","rel_leopoldkanaal1","rel_leopoldkanaal7","rel_leopoldkanaal6","rel_leopoldkanaal3","rel_leopoldkanaal5","rel_leopoldkanaal2","rel_leopoldkanaal4"
"bh-5",15307.6200423276,18104.6242978571,19011.7076621074,21450.1384935138,22757.187307112,25237.0586125608,26119.8381601297,20601.6161110623,23181.4565731407,25188.5640264405,26002.7323461398,27134.0739899339,28165.4141778873,29231.0922789883,30221.0162173081,1648.45328114725,2914.07777030829,5721.02729947241,8645.11494183812,9086.51279042557,141.417705474266,0,29789.5071187341,3155.48885682028,3221.20892313534,12234.8667871386,10569.2687738267,12834.827073365,13376.21830299,10869.2489169399,24764.3109100177,25564.2498835165,26688.4566672034,27605.5418287074,13359.0735708254,21577.2138055465,20911.5334530058,19345.8965215199,17738.7948915827,15907.4672813122,14441.8560300757,28482.4098563182,31213.952439228,31879.6247169657,32521.0497016438,30472.5259987098,26164.3312917876,33062.4732304807,26329.907467489,25205.7006838023,25829.9890111187,33331.1519684559,10027.8775442015,18945.8260997337,55814.7139640878,9969.32463720713,10110.7423426811,9786.46645768953,9086.51279042557,12917.675722238,15024.6715841373,13376.21830299,2955.50209474483,21577.2138055465,482.822173023984,6662.39205324836
"bh-1",45097.1271610618,47894.1314165913,48801.2147808417,46718.1593694893,45528.2648186993,43048.3935132505,42048.4597028733,48873.7224907354,44986.8412898624,43565.5051506036,42399.8740424796,41268.5323986857,40178.615079328,39405.8226352476,38415.8986969279,31437.9603998814,32703.5848890424,35510.5344182065,38434.6220605723,38876.0199091597,29930.9248242084,29789.5071187341,0,32944.9959755543,33010.7160418694,42024.3739058728,40358.7758925609,42624.3341920992,43165.7254217242,40658.7560356741,44589.7185532528,45531.0833070287,46738.1387395887,47655.2239010928,43148.5806895596,51366.7209242808,50701.0405717401,49135.4036402542,47528.302010317,45696.9744000464,44231.3631488099,1307.09726241592,38418.7737088779,37811.6785625444,37463.139234887,38808.7373609714,43409.8177249142,37570.2674760318,45965.3462955089,45089.6854584414,44616.8731574742,38618.7604709527,39817.3846629357,48735.333218468,26142.3611081618,39758.8317559413,39900.2494614153,39575.9735764237,38876.0199091597,42707.1828409722,44814.1787028715,43165.7254217242,32745.0092134789,51366.7209242808,30272.3292917581,36451.8991719825
"bh-10",12152.1311855074,14949.1354410368,15856.2188052872,18294.6496366936,19601.6984502918,22081.5697557405,22964.3493033094,17446.127254242,20025.9677163204,22033.0751696203,22847.2434893196,23978.5851331136,25009.9253210671,26075.6034221681,27065.5273604878,1507.03557567302,241.411086511992,2565.53844265213,5489.62608501785,5931.02393360529,3014.07115134601,3155.48885682028,32944.9959755543,0,2431.27174689097,9079.37793031832,7413.77991700642,9679.33821654468,10220.7294461697,7713.7600601196,21608.8220531975,22408.7610266962,23532.9678103831,24450.0529718872,10203.5847140051,18421.7249487262,17756.0445961856,16190.4076646996,14583.3060347624,12751.9784244919,11286.3671732554,31637.8987131385,28058.4635824078,28724.1358601454,29365.5608448236,27317.0371418896,23008.8424349673,29906.9843736605,23174.4186106687,22050.211826982,22674.5001542985,30175.6631116356,6872.38868738125,15790.3372429134,58970.2028209081,6813.83578038685,6955.25348586084,6630.97760086926,5931.02393360529,9762.18686541776,11869.182727317,10220.7294461697,199.986762075452,18421.7249487262,2672.66668379629,3506.90319642809
"bh-8",14383.400020717,17180.4042762465,18087.4876404968,20525.9184719032,21832.9672855014,24312.8385909502,25195.6181385191,19677.3960894516,22257.2365515301,24264.3440048299,25078.5123245292,26209.8539683233,27241.1941562767,28306.8722573777,29296.7961956975,1572.75564198809,2214.13217784794,4796.80727786179,7720.8949202275,8162.29276881495,3079.79121766108,3221.20892313534,33010.7160418694,2431.27174689097,0,11310.646765528,9645.04875221607,11910.6070517543,12451.9982813794,9945.02889532925,23840.0908884071,24640.0298619059,25764.2366455928,26681.3218070968,12434.8535492147,20652.9937839359,19987.3134313952,18421.6764999093,16814.5748699721,14983.2472597016,13517.6360084651,31703.6187794536,30289.7324176174,30955.404695355,31596.8296800332,29548.3059770992,25240.1112701769,32138.2532088701,25405.6874458784,24281.4806621916,24905.7689895081,32406.9319468452,9103.6575225909,18021.6060781231,59035.9228872232,9045.10461559651,9186.5223210705,8862.24643607891,8162.29276881494,11993.4557006274,14100.4515625267,12451.9982813794,2255.55650228448,20652.9937839359,2738.38675011136,5738.17203163774
"bh-20",3072.75325518904,5869.75751071848,6776.84087496885,9215.27170637523,10522.3205199735,13002.1918254222,13884.9713729912,8366.74932392366,10946.5897860021,12953.697239302,13767.8655590013,14899.2072027953,15930.5473907488,16996.2254918498,17986.1494301696,10586.4135059913,9320.78901683031,6513.83948766619,3589.75184530047,3148.35399671303,12093.4490816643,12234.8667871386,42024.3739058728,9079.37793031832,11310.646765528,0,1665.5980133119,599.960286226357,1141.35151585141,1507.04365047595,12529.4441228792,13329.3830963779,14453.5898800648,15370.6750415689,1124.20678368676,9342.34701840788,8676.66666586723,7111.02973438131,5503.92810444409,3672.60049417359,2206.98924293711,40717.2766434568,18979.0856520895,19644.7579298271,20286.1829145053,18237.6592115713,13929.464504649,20827.6064433422,14095.0406803504,12970.8338966637,13595.1222239802,21096.2851813173,2206.98924293707,6710.95931259511,68049.5807512264,2855.5167885108,2996.93449398507,2448.40032944906,3148.35399671303,682.808935099437,2789.8047969987,1141.35151585141,9279.36469239377,9342.34701840788,11752.0446141146,5572.47473389023
"bh-17",4738.35126850094,7535.35552403038,8442.43888828075,10880.8697196871,12187.9185332854,14667.7898387342,15550.5693863031,10032.3473372356,12612.187799314,14619.2952526139,15433.4635723132,16564.8052161072,17596.1454040607,18661.8235051617,19651.7474434815,8920.81549267944,7655.19100351841,4848.24147435429,1924.15383198857,1482.75598340113,10427.8510683524,10569.2687738267,40358.7758925609,7413.77991700642,9645.04875221607,1665.5980133119,0,2265.55829953826,2806.94952916331,382.828791986258,14195.0421361911,14994.9811096898,16119.1878933767,17036.2730548808,2789.80479699867,11007.9450317198,10342.2646791791,8776.62774769321,7169.52611775599,5338.19850748549,3872.58725624901,39051.6786301449,20644.6836654013,21310.355943139,21951.7809278172,19903.2572248832,15595.0625179609,22493.2044566541,15760.6386936623,14636.4319099756,15260.7202372921,22761.8831946292,541.39122962517,8376.55732590702,66383.9827379146,1189.9187751989,1331.33648067317,782.802316137163,1482.75598340113,2348.40694841134,4455.4028103106,2806.94952916331,7613.76667908187,11007.9450317198,10086.4466008027,3906.87672057833
"bh-21",2589.94723177091,5386.95148730036,6294.03485155073,8732.4656829571,10039.5144965553,12519.3858020041,13402.165349573,7883.94330050553,10463.783762584,12470.8912158838,13285.0595355832,14416.4011793772,15447.7413673307,16513.4194684317,17503.3434067515,11186.3737922177,9920.74930305667,7113.79977389255,4189.71213152683,3748.31428293939,12693.4093678907,12834.827073365,42624.3341920992,9679.33821654468,11910.6070517543,599.960286226357,2265.55829953826,0,541.391229625054,2107.00393670231,12046.638099461,12846.5770729598,13970.7838566467,14887.8690181507,524.246497460408,8742.38673218153,8076.70637964088,6511.06944815496,4903.96781821773,3072.64020794723,1607.02895671075,41317.2369296832,18496.2796286713,19161.951906409,19803.3768910872,17754.8531881531,13446.6584812309,20344.800419924,13612.2346569323,12488.0278732456,13112.316200562,20613.4791578992,2806.94952916343,6110.99902636876,68649.5410374528,3455.47707473716,3596.89478021143,3048.36061567542,3748.31428293939,200.002911681309,2189.84451077234,541.391229625054,9879.32497862013,8742.38673218153,12352.004900341,6172.43502011659
"bh-22",3072.76132999189,5869.76558552133,6776.8489497717,9215.27978117808,10522.3285947763,13002.1999002251,13884.979447794,8366.75739872651,10946.597860805,12953.7053141048,13767.8736338041,14899.2152775982,15930.5554655517,16996.2335666526,17986.1575049724,11727.7650218428,10462.1405326817,7655.1910035176,4731.10336115189,4289.70551256444,13234.8005975157,13376.21830299,43165.7254217242,10220.7294461697,12451.9982813794,1141.35151585141,2806.94952916331,541.391229625054,0,2648.39516632736,12529.452197682,13329.3911711807,14453.5979548677,15370.6831163717,241.419161314921,8200.99550255647,7535.31515001582,5969.6782185299,4362.57658859268,2531.24897832218,1065.63772708569,41858.6281593082,18979.0937268923,19644.7660046299,20286.1909893081,18237.6672863741,13929.4725794518,20827.614518145,14095.0487551533,12970.8419714665,13595.130298783,21096.2932561201,3348.34075878848,5569.6077967437,69190.9322670778,3996.86830436221,4138.28600983648,3589.75184530047,4289.70551256444,682.817009902283,1648.45328114729,0,10420.7162082452,8200.99550255647,12893.396129966,6713.82624974164
"bh-18",4579.79690566499,7376.80116119443,8283.8845254448,10722.3153568512,12029.3641704494,14509.2354758982,15392.0150234671,9873.79297439961,12453.6334364781,14460.7408897779,15274.9092094772,16406.2508532713,17437.5910412247,18503.2691423257,19493.1930806455,9220.79563579262,7955.17114663159,5148.22161746747,2224.13397510175,1782.73612651431,10727.8312114656,10869.2489169399,40658.7560356741,7713.7600601196,9945.02889532925,1507.04365047595,382.828791986258,2107.00393670231,2648.39516632736,0,14036.4877733551,14836.4267468538,15960.6335305408,16877.7186920448,2631.25043416272,10849.3906688838,10183.7103163432,8618.07338485726,7010.97175492004,5179.64414464954,3714.03289341306,39351.6587732581,20486.1293025654,21151.801580303,21793.2265649812,19744.7028620472,15436.5081551249,22334.6500938181,15602.0843308264,14477.8775471396,15102.1658744561,22603.3288317932,841.371372738349,8218.00296307107,66683.9628810277,1489.89891831208,1631.31662378635,1082.78245925034,1782.73612651431,2189.85258557539,4296.84844747465,2648.39516632736,7913.74682219505,10849.3906688838,10386.4267439159,4206.85686369151
"ws-25",9456.69086769012,6659.68661216067,5752.60324791031,3314.17241650393,2124.27786571393,1541.32504000231,2541.25885037946,5469.73553774999,1665.68683614427,1024.21340264915,2189.84451077312,3321.1861545671,4411.10347392469,5183.89591800511,6173.81985632485,23115.8576288705,21850.2331397095,19043.2836105454,16119.1959681796,15677.7981195922,24622.8932045435,24764.3109100177,44589.7185532528,21608.8220531975,23840.0908884071,12529.4441228792,14195.0421361911,12046.638099461,12529.452197682,14036.4877733551,0,941.364753775924,2148.42018633589,3065.50534783995,12512.3074655174,20730.4477002385,20064.7673476978,18499.1304162119,16892.0287862747,15060.7011760042,13595.0899247677,45813.9833164015,6698.13902701195,7363.81130474959,8005.23628942779,5956.71258649376,1648.51787957149,8546.65981826467,1624.17368887536,499.96690518863,1065.678101101,8815.33855623979,14736.4333658162,18099.0599944257,69786.4389098754,15384.96091139,15526.3786168642,14977.8444523282,15677.7981195922,11846.6351877797,14177.9054788293,12529.452197682,21808.8088152729,20730.4477002385,24281.4887369937,18101.9188567694
"ws-K",10256.6298411888,7459.6255856594,6552.54222140903,4114.11139000266,2924.21683921266,2482.68979377824,3482.62360415538,6269.67451124872,2465.625809643,1965.57815642508,3131.20926454904,4262.55090834302,5352.46822770061,6125.26067178103,7115.18461010077,23915.7966023692,22650.1721132082,19843.2225840441,16919.1349416784,16477.7370930909,25422.8321780422,25564.2498835165,45531.0833070287,22408.7610266962,24640.0298619059,13329.3830963779,14994.9811096898,12846.5770729598,13329.3911711807,14836.4267468538,941.364753775924,0,1207.05543255996,2124.14059406403,13312.2464390161,21530.3866737372,20864.7063211966,19299.0693897107,17691.9677597734,15860.6401495029,14395.0288982664,46755.3480701774,7170.88672955503,7836.55900729266,8477.98399197086,6722.34594605724,2121.26558211457,9019.40752080774,765.657583972517,441.397848587294,1207.09580657518,9288.08625878286,15536.372339315,18898.9989679245,70727.8036636513,16184.8998848887,16326.317590363,15777.783425827,16477.7370930909,12646.5741612785,14977.844452328,13329.3911711807,22608.7477887717,21530.3866737372,25081.4277104925,18901.8578302681
"ws-25B",11380.8366248758,8583.83236934632,7676.74900509595,5238.31817368957,4048.42362289957,3689.7452263382,4689.67903671534,7393.88129493563,3589.83259332991,3172.63358898504,4338.264697109,5469.60634090298,6559.52366026057,7332.31610434099,8322.24004266073,25040.0033860561,23774.3788968951,20967.429367731,18043.3417253653,17601.9438767778,26547.0389617291,26688.4566672034,46738.1387395887,23532.9678103831,25764.2366455928,14453.5898800648,16119.1878933767,13970.7838566467,14453.5979548677,15960.6335305408,2148.42018633589,1207.05543255996,0,1082.78245925022,14436.453222703,22654.5934574241,21988.9131048835,20423.2761733976,18816.1745434603,16984.8469331898,15519.2356819534,47962.4035027374,8319.36503071074,8926.4601770443,9392.15376751026,7929.4013786172,3328.32101467446,9933.57729634714,1065.67810110034,1648.45328114725,2121.26558211457,10202.2560343223,16660.5791230019,20023.2057516114,71934.8590962112,17309.1066685756,17450.5243740499,16901.9902095139,17601.9438767778,13770.7809449654,16102.0512360149,14453.5979548677,23732.9545724586,22654.5934574241,26205.6344941794,20026.064613955
"ws-18",12297.9217863798,9500.91753085038,8593.83416660001,6155.40333519364,4965.50878440364,4606.83038784226,5606.76419821941,8310.9664564397,4506.91775483397,4089.7187504891,5255.34985861307,6386.69150240704,7476.60882176463,8249.40126584505,9239.3252041648,25957.0885475602,24691.4640583992,21884.5145292351,18960.4268868693,18519.0290382819,27464.1241232332,27605.5418287074,47655.2239010928,24450.0529718872,26681.3218070968,15370.6750415689,17036.2730548808,14887.8690181507,15370.6831163717,16877.7186920448,3065.50534783995,2124.14059406403,1082.78245925022,0,15353.5383842071,23571.6786189282,22905.9982663875,21340.3613349016,19733.2597049644,17901.9320946939,16436.3208434574,48879.4886642414,9236.45019221477,9843.54533854826,10192.0846662059,8846.48654012126,4245.40617617853,10499.1996694263,1689.87760558383,2565.53844265132,3038.35074361856,10416.415618977,17577.664284506,20940.2909131154,72851.9442577152,18226.1918300797,18367.6095355539,17819.0753710179,18519.0290382819,14687.8661064694,17019.136397519,15370.6831163717,24650.0397339626,23571.6786189282,27122.7196556835,20943.1497754591
"bh-23",3055.61659782724,5852.62085335669,6759.70421760705,9198.13504901343,10505.1838626117,12985.0551680604,13867.8347156294,8349.61266656186,10929.4531286403,12936.5605819402,13750.7289016395,14882.0705454335,15913.410733387,16979.088834488,17969.0127728078,11710.6202896781,10444.9958005171,7638.04627135296,4713.95862898724,4272.56078039979,13217.6558653511,13359.0735708254,43148.5806895596,10203.5847140051,12434.8535492147,1124.20678368676,2789.80479699867,524.246497460408,241.419161314921,2631.25043416272,12512.3074655174,13312.2464390161,14436.453222703,15353.5383842071,0,8383.83753246728,7718.15717992663,6152.52024844071,4545.41861850349,2714.09100823298,1248.4797569965,41841.4834271436,18961.9489947277,19627.6212724653,20269.0462571435,18220.5225542095,13912.3278472872,20810.4697859804,14077.9040229886,12953.6972393019,13577.9855666184,21079.1485239555,3331.19602662384,5752.44982665451,69173.7875349132,3979.72357219757,4121.14127767183,3572.60711313583,4272.56078039979,665.672277737637,1831.29531105809,241.419161314921,10403.5714760805,8383.83753246728,12876.2513978014,6696.681517577
"bh-30",11273.7568325484,14070.7610880778,14977.8444523282,17416.2752837346,18723.3240973328,21203.1954027815,22085.9749503504,16567.752901283,19147.5933633614,21154.7008166613,21968.8691363606,23100.2107801546,24131.5509681081,25197.2290692091,26187.1530075288,19928.7605243992,18663.1360352382,15856.1865060741,12932.0988637084,12490.7010151209,21435.7961000722,21577.2138055465,51366.7209242808,18421.7249487262,20652.9937839359,9342.34701840788,11007.9450317198,8742.38673218153,8200.99550255647,10849.3906688838,20730.4477002385,21530.3866737372,22654.5934574241,23571.6786189282,8383.83753246728,0,724.257483944762,2231.31728402657,3838.41891396379,5669.7465242343,7135.35777547078,50059.6236618648,27180.0892294487,27845.7615071864,28487.1864918646,26438.6627889305,22130.4680820083,29028.6100207015,22296.0442577097,21171.837474023,21796.1258013395,29297.2887586766,11549.336261345,5611.13709361774,77391.9277696342,12197.8638069187,12339.281512393,11790.747347857,12490.7010151209,8883.81251245876,6552.54222140918,8200.99550255647,18621.7117108017,0,21094.3916325225,14914.8217522981
"bh-29",10608.0764800077,13405.0807355372,14312.1640997875,16750.5949311939,18057.6437447921,20537.5150502409,21420.2945978098,15902.0725487423,18481.9130108208,20489.0204641206,21303.1887838199,22434.530427614,23465.8706155674,24531.5487166684,25521.4726549882,19263.0801718586,17997.4556826975,15190.5061535334,12266.4185111677,11825.0206625803,20770.1157475316,20911.5334530058,50701.0405717401,17756.0445961856,19987.3134313952,8676.66666586723,10342.2646791791,8076.70637964088,7535.31515001582,10183.7103163432,20064.7673476978,20864.7063211966,21988.9131048835,22905.9982663875,7718.15717992663,724.257483944762,0,1565.63693148592,3172.73856142315,5004.06617169365,6469.67742293013,49393.9433093241,26514.4088769081,27180.0811546457,27821.5061393239,25772.9824363899,21464.7877294676,28362.9296681608,21630.3639051691,20506.1571214823,21130.4454487988,28631.6084061359,10883.6559088043,4945.45674107709,76726.2474170936,11532.183454378,11673.6011598523,11125.0669953163,11825.0206625803,8218.13215991811,5886.86186886854,7535.31515001582,17956.031358261,724.257483944762,20428.7112799818,14249.1413997575
"bh-28",9042.43954852179,11839.4438040512,12746.5271683016,15184.957999708,16492.0068133062,18971.878118755,19854.6576663239,14336.4356172564,16916.2760793349,18923.3835326347,19737.551852334,20868.8934961281,21900.2336840815,22965.9117851825,23955.8357235023,17697.4432403727,16431.8187512116,13624.8692220475,10700.7815796818,10259.3837310943,19204.4788160456,19345.8965215199,49135.4036402542,16190.4076646996,18421.6764999093,7111.02973438131,8776.62774769321,6511.06944815496,5969.6782185299,8618.07338485726,18499.1304162119,19299.0693897107,20423.2761733976,21340.3613349016,6152.52024844071,2231.31728402657,1565.63693148592,0,1607.10162993722,3438.42924020773,4904.04049144421,47828.3063778382,24948.7719454222,25614.4442231598,26255.869207838,24207.345504904,19899.1507979817,26797.2927366749,20064.7269736831,18940.5201899964,19564.8085173129,27065.97147465,9318.01897731838,3379.81980959117,75160.6104856077,9966.54652289212,10107.9642283664,9559.43006383038,10259.3837310943,6652.49522843218,4321.22493738261,5969.6782185299,16390.3944267751,2231.31728402657,18863.0743484959,12683.5044682716
"bh-27",7435.33791858457,10232.342174114,11139.4255383644,13577.8563697708,14884.905183369,17364.7764888178,18247.5560363867,12729.3339873192,15309.1744493977,17316.2819026975,18130.4502223968,19261.7918661908,20293.1320541443,21358.8101552453,22348.7340935651,16090.3416104354,14824.7171212744,12017.7675921103,9093.67994974456,8652.28210115712,17597.3771861084,17738.7948915827,47528.302010317,14583.3060347624,16814.5748699721,5503.92810444409,7169.52611775599,4903.96781821773,4362.57658859268,7010.97175492004,16892.0287862747,17691.9677597734,18816.1745434603,19733.2597049644,4545.41861850349,3838.41891396379,3172.73856142315,1607.10162993722,0,1831.3276102705,3296.93886150699,46221.2047479009,23341.670315485,24007.3425932226,24648.7675779008,22600.2438749668,18292.0491680445,25190.1911067377,18457.6253437459,17333.4185600592,17957.7068873757,25458.8698447128,7710.91734738116,1831.29531105806,73553.5088556705,8359.44489295489,8500.86259842916,7952.32843389315,8652.28210115712,5045.39359849496,2714.12330744539,4362.57658859268,14783.2927968379,3838.41891396379,17255.9727185587,11076.4028383343
"bh-25",5604.01030831406,8401.01456384351,9308.09792809388,11746.5287595003,13053.5775730985,15533.4488785473,16416.2284261162,10898.0063770487,13477.8468391272,15484.954292427,16299.1226121263,17430.4642559204,18461.8044438738,19527.4825449748,20517.4064832946,14259.0140001649,12993.3895110039,10186.4399818398,7262.35233947406,6820.95449088662,15766.0495758379,15907.4672813122,45696.9744000464,12751.9784244919,14983.2472597016,3672.60049417359,5338.19850748549,3072.64020794723,2531.24897832218,5179.64414464954,15060.7011760042,15860.6401495029,16984.8469331898,17901.9320946939,2714.09100823298,5669.7465242343,5004.06617169365,3438.42924020773,1831.3276102705,0,1465.61125123648,44389.8771376304,21510.3427052145,22176.0149829521,22817.4399676303,20768.9162646963,16460.721557774,23358.8634964672,16626.2977334754,15502.0909497887,16126.3792771052,23627.5422344423,5879.58973711066,3038.35881842153,71722.1812454,6528.11728268439,6669.53498815866,6121.00082362265,6820.95449088662,3214.06598822446,882.795697174889,2531.24897832218,12951.9651865674,5669.7465242343,15424.6451082882,9245.07522806382
"bh-24",4138.39905707758,6935.40331260703,7842.48667685739,10280.9175082638,11587.966321862,14067.8376273108,14950.6171748797,9432.3951258122,12012.2355878907,14019.3430411905,14833.5113608898,15964.8530046839,16996.1931926373,18061.8712937383,19051.7952320581,12793.4027489285,11527.7782597674,8720.8287306033,5796.74108823758,5355.34323965013,14300.4383246014,14441.8560300757,44231.3631488099,11286.3671732554,13517.6360084651,2206.98924293711,3872.58725624901,1607.02895671075,1065.63772708569,3714.03289341306,13595.0899247677,14395.0288982664,15519.2356819534,16436.3208434574,1248.4797569965,7135.35777547078,6469.67742293013,4904.04049144421,3296.93886150699,1465.61125123648,0,42924.2658863939,20044.731453978,20710.4037317156,21351.8287163938,19303.3050134598,14995.1103065375,21893.2522452307,15160.686482239,14036.4796985522,14660.7680258687,22161.9309832058,4413.97848587418,4503.97006965801,70256.5699941635,5062.50603144791,5203.92373692217,4655.38957238617,5355.34323965013,1748.45473698798,582.815554061594,1065.63772708569,11486.3539353309,7135.35777547078,13959.0338570517,7779.46397682734
"bh-2",43790.0298986459,46587.0341541753,47494.1175184257,47942.424132638,46752.529581848,44272.6582763992,43272.724466022,49084.0259673805,46211.1060530111,44789.7699137523,43624.1388056284,42492.7971618344,41402.8798424768,40630.0873983963,39640.1634600766,30130.8631374655,31396.4876266265,34203.4371557906,37127.5247981563,37568.9226467438,28623.8275617925,28482.4098563182,1307.09726241592,31637.8987131385,31703.6187794536,40717.2766434568,39051.6786301449,41317.2369296832,41858.6281593082,39351.6587732581,45813.9833164015,46755.3480701774,47962.4035027374,48879.4886642414,41841.4834271436,50059.6236618648,49393.9433093241,47828.3063778382,46221.2047479009,44389.8771376304,42924.2658863939,0,39643.0384720266,39035.9433256931,38687.4039980357,40033.0021241201,44634.0824880629,38794.5322391805,47189.6110586576,46313.9502215901,45841.1379206229,39843.0252341014,38510.2874005198,47428.2359560521,27332.3041077695,38451.7344935254,38593.1521989994,38268.8763140078,37568.9226467438,41400.0855785563,43507.0814404556,41858.6281593083,31437.911951063,50059.6236618648,28965.2320293422,35144.8019095666
"ws-4",15906.3323969004,13109.328141371,12202.2447771206,9763.81394571421,8573.91939492421,5976.89382666721,5562.73133033118,11919.3770669603,8032.49586608732,6025.38841278749,5211.22009308818,4079.87844929413,3048.53826134066,1982.86016023966,1407.09871825583,29565.4991580808,28299.8746689197,25492.9251397556,22568.8374973899,22127.4396488025,31072.5347337538,31213.952439228,38418.7737088779,28058.4635824078,30289.7324176174,18979.0856520895,20644.6836654013,18496.2796286713,18979.0937268923,20486.1293025654,6698.13902701195,7170.88672955503,8319.36503071074,9236.45019221477,18961.9489947277,27180.0892294487,26514.4088769081,24948.7719454222,23341.670315485,21510.3427052145,20044.731453978,39643.0384720266,0,665.672277737637,1307.09726241583,741.426440518194,5049.62114744046,1848.52079125272,7546.57258663094,6905.22027518001,6198.09944859621,2282.86452776228,21186.0748950265,24548.701523636,63615.4940655007,21834.6024406002,21976.0201460745,21427.4859815385,22127.4396488025,18296.27671699,20627.5470080396,18979.0937268923,28258.4503444832,27180.0892294487,30731.130266204,24551.5603859797
