"","bh-31","bh-32","bh-33","bh-35","bh-36","ws-PPC","ws-PPB","bh-34","bh-37","ws-23","ws-A5","ws-A3","ws-A1","ws-15A","ws-15","bh-7","bh-9","bh-11","bh-12","bh-13","bh-6","bh-5","bh-1","bh-10","bh-8","bh-20","bh-17","bh-21","bh-22","bh-18","ws-25","ws-K","ws-25B","ws-18","bh-23","bh-30","bh-29","bh-28","bh-27","bh-25","bh-24","bh-2","ws-4","ws-PVTSS","ws-13","ws-6","ws-12A","ws-11","ws-16","ws-25A","ws-14","ws-2C","bh-16","bh-26","bpns-O6","bh-14","bh-15","rel_leopoldkanaal8","rel_leopoldkanaal9","rel_leopoldkanaal1","rel_leopoldkanaal7","rel_leopoldkanaal6","rel_leopoldkanaal3","rel_leopoldkanaal5","rel_leopoldkanaal2","rel_leopoldkanaal4"
"ws-PVTSS",16572.0046746381,13775.0004191086,12867.9170548582,10429.4862234518,9239.59167266185,6642.56610440484,6228.40360806881,12585.0493446979,8698.16814382496,6691.06069052512,5876.89237082581,4745.55072703177,3714.21053907829,2648.5324379773,1741.44099892474,30231.1714358184,28965.5469466574,26158.5974174933,23234.5097751275,22793.1119265401,31738.2070114914,31879.6247169657,37811.6785625444,28724.1358601454,30955.404695355,19644.7579298271,21310.355943139,19161.951906409,19644.7660046299,21151.801580303,7363.81130474959,7836.55900729266,8926.4601770443,9843.54533854826,19627.6212724653,27845.7615071864,27180.0811546457,25614.4442231598,24007.3425932226,22176.0149829521,20710.4037317156,39035.9433256931,665.672277737637,0,641.424984678198,1407.09871825583,5715.2934251781,1182.84851351508,8153.66773296443,7570.89255291765,6805.19459492973,1948.52224709337,21851.7471727641,25214.3738013736,63008.3989191671,22500.2747183379,22641.6924238121,22093.1582592761,22793.1119265401,18961.9489947276,21293.2192857772,19644.7660046299,28924.1226222208,27845.7615071864,31396.8025439416,25217.2326637173
"ws-13",17213.4296593162,14416.4254037868,13509.3420395364,11070.91120813,9881.01665734004,7283.99108908304,6869.82859274701,13226.4743293761,9339.59312850316,7332.48567520332,6518.31735550401,5386.97571170996,4355.63552375649,3289.9574226555,2300.03348433599,30872.5964204966,29606.9719313356,26800.0224021715,23875.9347598057,23434.5369112183,32379.6319961696,32521.0497016438,37463.139234887,29365.5608448236,31596.8296800332,20286.1829145053,21951.7809278172,19803.3768910872,20286.1909893081,21793.2265649812,8005.23628942779,8477.98399197086,9392.15376751026,10192.0846662059,20269.0462571435,28487.1864918646,27821.5061393239,26255.869207838,24648.7675779008,22817.4399676303,21351.8287163938,38687.4039980357,1307.09726241583,641.424984678198,0,2048.52370293403,6356.7184098563,541.423528836885,8502.20706062216,8212.31753759584,7270.88818539568,1389.9297616824,22493.1721574423,25855.7987860518,62659.8595915097,23141.6997030161,23283.1174084903,22734.5832439543,23434.5369112183,19603.3739794058,21934.6442704554,20286.1909893081,29565.547606899,28487.1864918646,32038.2275286198,25858.6576483955
"ws-6",15164.9059563822,12367.9017008528,11460.8183366024,9022.38750519602,7832.49295440602,5235.46738614902,4821.30488981298,11177.9506264421,7291.06942556913,5283.96197226929,4469.79365256999,3338.45200877594,2307.11182082246,1241.43371972147,807.08190840894,28824.0727175626,27558.4482284016,24751.4986992374,21827.4110568717,21386.0132082843,30331.1082932356,30472.5259987098,38808.7373609714,27317.0371418896,29548.3059770992,18237.6592115713,19903.2572248832,17754.8531881531,18237.6672863741,19744.7028620472,5956.71258649376,6722.34594605724,7929.4013786172,8846.48654012126,18220.5225542095,26438.6627889305,25772.9824363899,24207.345504904,22600.2438749668,20768.9162646963,19303.3050134598,40033.0021241201,741.426440518194,1407.09871825583,2048.52370293403,0,4601.08036394274,2589.94723177091,7156.60893453743,6280.94809746998,5808.1357965027,2941.45846901326,20444.6484545083,23807.2750831178,64005.4577175942,21093.176000082,21234.5937055563,20686.0595410203,21386.0132082843,17554.8502764718,19886.1205675214,18237.6672863741,27517.023903965,26438.6627889305,29989.7038256858,23810.1339454615
"ws-12A",10856.7112494599,8059.70699393049,7152.62362968013,4714.19279827375,3524.29824748375,1672.76517263159,2438.39045739224,6869.75591951981,2982.87471864687,1224.26476314869,1589.8842245461,2141.28532622852,3231.20264558611,4003.99508966653,4993.91902798628,24515.8780106403,23250.2535214793,20443.3039923152,17519.2163499495,17077.818501362,26022.9135863133,26164.3312917876,43409.8177249142,23008.8424349673,25240.1112701769,13929.464504649,15595.0625179609,13446.6584812309,13929.4725794518,15436.5081551249,1648.51787957149,2121.26558211457,3328.32101467446,4245.40617617853,13912.3278472872,22130.4680820083,21464.7877294676,19899.1507979817,18292.0491680445,16460.721557774,14995.1103065375,44634.0824880629,5049.62114744046,5715.2934251781,6356.7184098563,4601.08036394274,0,6898.14193869318,2555.5285705947,1855.59912773955,1207.05543255996,7166.8206766683,16136.4537475861,19499.0803761955,68606.5380815369,16784.9812931598,16926.3989986341,16377.8648340981,17077.818501362,13246.6555695496,15577.9258605991,13929.4725794518,23208.8291970427,22130.4680820083,25681.5091187636,19501.9392385392
"ws-11",17754.8531881531,14957.8489326237,14050.7655683733,11612.3347369669,10422.4401861769,7825.41461791993,7411.2521215839,13767.897858213,9881.01665734004,7873.9092040402,7059.74088434089,5928.39924054685,4897.05905259338,3831.38095149238,2841.4570131726,31414.0199493335,30148.3954601725,27341.4459310083,24417.3582886426,23975.9604400552,32921.0555250065,33062.4732304807,37570.2674760318,29906.9843736605,32138.2532088701,20827.6064433422,22493.2044566541,20344.800419924,20827.614518145,22334.6500938181,8546.65981826467,9019.40752080774,9933.57729634714,10499.1996694263,20810.4697859804,29028.6100207015,28362.9296681608,26797.2927366749,25190.1911067377,23358.8634964672,21893.2522452307,38794.5322391805,1848.52079125272,1182.84851351508,541.423528836885,2589.94723177091,6898.14193869318,0,8867.8991952468,8753.74106643273,7812.31171423257,1048.49299492093,23034.5956862792,26397.2223148887,62766.9878326545,23683.1232318529,23824.5409373272,23276.0067727912,23975.9604400552,20144.7975082427,22476.0677992923,20827.614518145,30106.9711357359,29028.6100207014,32579.6510574567,26400.0811772324
"ws-16",11022.2874251614,8225.28316963192,7318.19980538155,4879.76897397517,3689.87442318517,3082.6500800046,4082.58389038174,7035.33209522123,3231.28339361551,2399.84114490531,3565.47225302924,4696.81389682322,5786.7312161808,6559.52366026122,7549.44759858097,24681.4541863417,23415.8296971807,20608.8801680166,17684.7925256509,17243.3946770634,26188.4897620147,26329.907467489,45965.3462955089,23174.4186106687,25405.6874458784,14095.0406803504,15760.6386936623,13612.2346569323,14095.0487551533,15602.0843308264,1624.17368887536,765.657583972517,1065.67810110034,1689.87760558383,14077.9040229886,22296.0442577097,21630.3639051691,20064.7269736831,18457.6253437459,16626.2977334754,15160.686482239,47189.6110586576,7546.57258663094,8153.66773296443,8502.20706062216,7156.60893453743,2555.5285705947,8867.8991952468,0,1124.20678368673,1348.47313803474,9136.57793322192,16302.0299232875,19664.656551897,71162.0666521315,16950.5574688612,17091.9751743355,16543.4410097995,17243.3946770634,13412.231745251,15743.5020363006,14095.0487551533,23374.4053727442,22296.0442577097,25847.085294465,19667.5154142406
"ws-25A",9898.08064147463,7101.07638594519,6193.99302169482,3755.56219028844,2565.66763949844,2041.29194519095,3041.22575556809,5911.1253115345,2107.07660992878,1524.18030783779,2689.81141596175,3821.15305975573,4911.07037911331,5683.86282319374,6673.78676151348,23557.247402655,22291.622913494,19484.6733843299,16560.5857419642,16119.1878933767,25064.282978328,25205.7006838023,45089.6854584414,22050.211826982,24281.4806621916,12970.8338966637,14636.4319099756,12488.0278732456,12970.8419714665,14477.8775471396,499.96690518863,441.397848587294,1648.45328114725,2565.53844265132,12953.6972393019,21171.837474023,20506.1571214823,18940.5201899964,17333.4185600592,15502.0909497887,14036.4796985522,46313.9502215901,6905.22027518001,7570.89255291765,8212.31753759584,6280.94809746998,1855.59912773955,8753.74106643273,1124.20678368673,0,941.429352200162,9022.41980440785,15177.8231396008,18540.4497682102,70286.405815064,15826.3506851745,15967.7683906488,15419.2342261128,16119.1878933767,12288.0249615642,14619.2952526138,12970.8419714665,22250.1985890574,21171.837474023,24722.8785107783,18543.3086305539
"ws-14",10522.3689687911,7725.36471326167,6818.2813490113,4379.85051760492,3189.95596681492,2231.26883520966,3231.2026455868,6535.41363885098,2731.36493724526,1548.45990011034,2382.69641274066,3348.34075878848,4438.25807814607,5211.05052222649,6200.97446054624,24181.5357299715,22915.9112408105,20108.9617116463,17184.8740692806,16743.4762206932,25688.5713056445,25829.9890111187,44616.8731574742,22674.5001542985,24905.7689895081,13595.1222239802,15260.7202372921,13112.316200562,13595.130298783,15102.1658744561,1065.678101101,1207.09580657518,2121.26558211457,3038.35074361856,13577.9855666184,21796.1258013395,21130.4454487988,19564.8085173129,17957.7068873757,16126.3792771052,14660.7680258687,45841.1379206229,6198.09944859621,6805.19459492973,7270.88818539568,5808.1357965027,1207.05543255996,7812.31171423257,1348.47313803474,941.429352200162,0,8080.99045220768,15802.1114669172,19164.7380955267,69813.5935140968,16450.639012491,16592.0567179652,16043.5225534292,16743.4762206932,12912.3132888807,15243.5835799303,13595.130298783,22874.4869163739,21796.1258013395,25347.1668380947,19167.5969578704
"ws-2C",18023.5319261282,15226.5276705988,14319.4443063484,11881.0134749421,10691.118924152,8094.09335589505,7679.93085955902,14036.5765961881,10149.6953953152,8142.58794201532,7328.41962231601,6197.07797852197,5165.7377905685,4100.05968946777,3689.96324601812,31682.6986873086,30417.0741981476,27610.1246689835,24686.0370266177,24244.6391780303,33189.7342629816,33331.1519684559,38618.7604709527,30175.6631116356,32406.9319468452,21096.2851813173,22761.8831946292,20613.4791578992,21096.2932561201,22603.3288317932,8815.33855623979,9288.08625878286,10202.2560343223,10416.415618977,21079.1485239555,29297.2887586766,28631.6084061359,27065.97147465,25458.8698447128,23627.5422344423,22161.9309832058,39843.0252341014,2282.86452776228,1948.52224709337,1389.9297616824,2941.45846901326,7166.8206766683,1048.49299492093,9136.57793322192,9022.41980440785,8080.99045220768,0,23303.2744242543,26665.9010528638,63815.4808275754,23951.8019698281,24093.2196753023,23544.6855107663,24244.6391780303,20413.4762462178,22744.7465372674,21096.2932561201,30375.649873711,29297.2887586766,32848.3297954318,26668.7599152075
"bh-16",5279.74249812611,8076.74675365555,8983.83011790593,11422.2609493123,12729.3097629105,15209.1810683593,16091.9606159282,10573.7385668607,13153.5790289392,15160.686482239,15974.8548019384,17106.1964457324,18137.5366336859,19203.2147347869,20193.1386731066,8379.42426305427,7113.79977389324,4306.85024472912,1382.7626023634,941.364753775958,9886.45983872726,10027.8775442015,39817.3846629357,6872.38868738125,9103.6575225909,2206.98924293707,541.39122962517,2806.94952916343,3348.34075878848,841.371372738349,14736.4333658162,15536.372339315,16660.5791230019,17577.664284506,3331.19602662384,11549.336261345,10883.6559088043,9318.01897731838,7710.91734738116,5879.58973711066,4413.97848587418,38510.2874005198,21186.0748950265,21851.7471727641,22493.1721574423,20444.6484545083,16136.4537475861,23034.5956862792,16302.0299232875,15177.8231396008,15802.1114669172,23303.2744242543,0,8917.94855553218,65842.5915082894,824.258939786076,965.676645260342,241.411086511992,941.364753775958,2889.79817803651,4996.79403993577,3348.34075878848,7072.3754494567,11549.336261345,9545.05537117754,3365.48549095316
"bh-26",8642.36912673559,11439.373382265,12346.4567465154,14784.8875779218,16091.93639152,18571.8076969688,19454.5872445377,13936.3651954702,16516.2056575487,18523.3131108485,19337.4814305478,20468.8230743419,21500.1632622953,22565.8413633963,23555.7653017161,17297.3728185865,16031.7483294254,13224.7988002613,10300.7111578956,9859.31330930814,18804.4083942594,18945.8260997337,48735.333218468,15790.3372429134,18021.6060781231,6710.95931259511,8376.55732590702,6110.99902636876,5569.6077967437,8218.00296307107,18099.0599944257,18898.9989679245,20023.2057516114,20940.2909131154,5752.44982665451,5611.13709361774,4945.45674107709,3379.81980959117,1831.29531105806,3038.35881842153,4503.97006965801,47428.2359560521,24548.701523636,25214.3738013736,25855.7987860518,23807.2750831178,19499.0803761955,26397.2223148887,19664.656551897,18540.4497682102,19164.7380955267,26665.9010528638,8917.94855553218,0,74760.5400638215,9566.47610110592,9707.89380658018,9159.35964204418,9859.31330930815,6252.42480664599,3921.15451559642,5569.6077967437,15990.3240049889,5611.13709361774,18463.0039267097,12283.4340464854
"bpns-O6",71122.3340064155,73919.3382619449,74353.3105575182,71914.8797261119,70724.9851753219,68245.1138698732,67245.1800594961,74070.4428473579,70183.561646485,68762.2255072263,67596.5943991024,66465.2527553084,65375.3354359509,64602.5429918704,63612.6190535506,57463.1672452351,58728.7917343961,61535.7412635603,64459.828905926,64901.2267545134,55956.1316695621,55814.7139640878,26142.3611081618,58970.2028209081,59035.9228872232,68049.5807512264,66383.9827379146,68649.5410374528,69190.9322670778,66683.9628810277,69786.4389098754,70727.8036636513,71934.8590962112,72851.9442577152,69173.7875349132,77391.9277696342,76726.2474170936,75160.6104856077,73553.5088556705,71722.1812454,70256.5699941635,27332.3041077695,63615.4940655007,63008.3989191671,62659.8595915097,64005.4577175942,68606.5380815369,62766.9878326545,71162.0666521315,70286.405815064,69813.5935140968,63815.4808275754,65842.5915082894,74760.5400638215,0,65784.0386012952,65925.4563067692,65601.1804217776,64901.2267545136,68732.389686326,70839.3855482252,69190.932267078,58770.2160588328,77391.9277696342,56297.5361371119,62477.1060173364
"bh-14",5928.27004369984,8725.27429922929,9632.35766347966,12070.788494886,13377.8373084843,15857.7086139331,16740.488161502,11222.2661124345,13802.1065745129,15809.2140278128,16623.3823475121,17754.7239913061,18786.0641792596,19851.7422803606,20841.6662186804,8320.87135605987,7055.24686689884,4248.29733773472,1324.20969536901,965.660495654641,9827.90693173286,9969.32463720713,39758.8317559413,6813.83578038685,9045.10461559651,2855.5167885108,1189.9187751989,3455.47707473716,3996.86830436221,1489.89891831208,15384.96091139,16184.8998848887,17309.1066685756,18226.1918300797,3979.72357219757,12197.8638069187,11532.183454378,9966.54652289212,8359.44489295489,6528.11728268439,5062.50603144791,38451.7344935254,21834.6024406002,22500.2747183379,23141.6997030161,21093.176000082,16784.9812931598,23683.1232318529,16950.5574688612,15826.3506851745,16450.639012491,23951.8019698281,824.258939786076,9566.47610110592,65784.0386012952,0,141.417705474266,641.424984678198,965.660495654641,3538.32572361024,5645.3215855095,3996.86830436221,7013.8225424623,12197.8638069187,9486.50246418315,3306.93258395877
"bh-15",6069.68774917411,8866.69200470355,9773.77536895393,12212.2062003603,13519.2550139585,15999.1263194073,16881.9058669762,11363.6838179087,13943.5242799872,15950.631733287,16764.8000529864,17896.1416967804,18927.4818847339,19993.1599858348,20983.0839241546,8462.28906153387,7196.66457237284,4389.71504320872,1465.627400843,1107.07820112863,9969.32463720686,10110.7423426811,39900.2494614153,6955.25348586084,9186.5223210705,2996.93449398507,1331.33648067317,3596.89478021143,4138.28600983648,1631.31662378635,15526.3786168642,16326.317590363,17450.5243740499,18367.6095355539,4121.14127767183,12339.281512393,11673.6011598523,10107.9642283664,8500.86259842916,6669.53498815866,5203.92373692217,38593.1521989994,21976.0201460745,22641.6924238121,23283.1174084903,21234.5937055563,16926.3989986341,23824.5409373272,17091.9751743355,15967.7683906488,16592.0567179652,24093.2196753023,965.676645260342,9707.89380658018,65925.4563067692,141.417705474266,0,782.842690152464,1107.07820112863,3679.74342908451,5786.73929098377,4138.28600983648,7155.24024793629,12339.281512393,9627.92016965714,3448.35028943276
"rel_leopoldkanaal8",5521.1535846381,8318.15784016755,9225.24120441792,11663.6720358243,12970.7208494225,15450.5921548713,16333.3717024402,10815.1496533727,13394.9901154512,15402.097568751,16216.2658884504,17347.6075322444,18378.9477201979,19444.6258212988,20434.5497596186,8138.01317654228,6872.38868738125,4065.43915821713,1141.35151585141,699.953667263966,9645.04875221527,9786.46645768953,39575.9735764237,6630.97760086926,8862.24643607891,2448.40032944906,782.802316137163,3048.36061567542,3589.75184530047,1082.78245925034,14977.8444523282,15777.783425827,16901.9902095139,17819.0753710179,3572.60711313583,11790.747347857,11125.0669953163,9559.43006383038,7952.32843389315,6121.00082362265,4655.38957238617,38268.8763140078,21427.4859815385,22093.1582592761,22734.5832439543,20686.0595410203,16377.8648340981,23276.0067727912,16543.4410097995,15419.2342261128,16043.5225534292,23544.6855107663,241.411086511992,9159.35964204418,65601.1804217776,641.424984678198,782.842690152464,0,699.953667263966,3131.2092645485,5238.20512644776,3589.75184530047,6830.96436294471,11790.7473478569,9303.64428466555,3124.07440444117
"rel_leopoldkanaal9",6221.10725190207,9018.11150743151,9925.19487168189,12363.6257030883,13670.6745166865,16150.5458221353,17033.3253697042,11515.1033206367,14094.9437827152,16102.051236015,16916.2195557143,18047.5611995084,19078.9013874618,20144.5794885628,21134.5034268826,7438.05950927831,6172.43502011728,3365.48549095316,441.397848587444,0,8945.0950849513,9086.51279042557,38876.0199091597,5931.02393360529,8162.29276881494,3148.35399671303,1482.75598340113,3748.31428293939,4289.70551256444,1782.73612651431,15677.7981195922,16477.7370930909,17601.9438767778,18519.0290382819,4272.56078039979,12490.7010151209,11825.0206625803,10259.3837310943,8652.28210115712,6820.95449088662,5355.34323965013,37568.9226467438,22127.4396488025,22793.1119265401,23434.5369112183,21386.0132082843,17077.818501362,23975.9604400552,17243.3946770634,16119.1878933767,16743.4762206932,24244.6391780303,941.364753775958,9859.31330930815,64901.2267545136,965.660495654641,1107.07820112863,699.953667263966,0,3831.16293181247,5938.15879371173,4289.70551256444,6131.01069568074,12490.7010151209,8603.69061740158,2424.1207371772
"rel_leopoldkanaal1",2389.9443200896,5186.94857561905,6094.03193986942,8532.46277127579,9839.51158487403,12319.3828903228,13202.1624378917,7683.94038882423,10263.7808509027,12270.8883042025,13085.0566239018,14216.3982676959,15247.7384556494,16313.4165567504,17303.3404950701,11269.2224410908,10003.5979519297,7196.64842276563,4272.56078039991,3831.16293181247,12776.2580167638,12917.675722238,42707.1828409722,9762.18686541776,11993.4557006274,682.808935099437,2348.40694841134,200.002911681309,682.817009902283,2189.85258557539,11846.6351877797,12646.5741612785,13770.7809449654,14687.8661064694,665.672277737637,8883.81251245876,8218.13215991811,6652.49522843218,5045.39359849496,3214.06598822446,1748.45473698798,41400.0855785563,18296.27671699,18961.9489947276,19603.3739794058,17554.8502764718,13246.6555695496,20144.7975082427,13412.231745251,12288.0249615642,12912.3132888807,20413.4762462178,2889.79817803651,6252.42480664599,68732.389686326,3538.32572361024,3679.74342908451,3131.2092645485,3831.16293181247,0,2331.27029104957,682.817009902283,9962.17362749321,8883.81251245875,12434.8535492141,6255.28366898967
"rel_leopoldkanaal7",4721.21461113918,7518.21886666862,8425.30223091899,10863.7330623254,12170.7818759236,14650.6531813724,15533.4327289413,10015.2106798738,12595.0511419523,14602.1585952521,15416.3269149514,16547.6685587455,17579.0087466989,18644.6868477999,19634.6107861197,13376.21830299,12110.593813829,9303.64428466489,6379.55664229917,5938.15879371173,14883.253878663,15024.6715841373,44814.1787028715,11869.182727317,14100.4515625267,2789.8047969987,4455.4028103106,2189.84451077234,1648.45328114729,4296.84844747465,14177.9054788293,14977.844452328,16102.0512360149,17019.136397519,1831.29531105809,6552.54222140918,5886.86186886854,4321.22493738261,2714.12330744539,882.795697174889,582.815554061594,43507.0814404556,20627.5470080396,21293.2192857772,21934.6442704554,19886.1205675214,15577.9258605991,22476.0677992923,15743.5020363006,14619.2952526138,15243.5835799303,22744.7465372674,4996.79403993577,3921.15451559642,70839.3855482252,5645.3215855095,5786.73929098377,5238.20512644776,5938.15879371173,2331.27029104957,0,1648.45328114729,12069.1694893925,6552.54222140918,14541.8494111133,8362.27953088893
"rel_leopoldkanaal6",3072.76132999189,5869.76558552133,6776.8489497717,9215.27978117808,10522.3285947763,13002.1999002251,13884.979447794,8366.75739872651,10946.597860805,12953.7053141048,13767.8736338041,14899.2152775982,15930.5554655517,16996.2335666526,17986.1575049724,11727.7650218428,10462.1405326817,7655.1910035176,4731.10336115189,4289.70551256444,13234.8005975157,13376.21830299,43165.7254217242,10220.7294461697,12451.9982813794,1141.35151585141,2806.94952916331,541.391229625054,0,2648.39516632736,12529.452197682,13329.3911711807,14453.5979548677,15370.6831163717,241.419161314921,8200.99550255647,7535.31515001582,5969.6782185299,4362.57658859268,2531.24897832218,1065.63772708569,41858.6281593083,18979.0937268923,19644.7660046299,20286.1909893081,18237.6672863741,13929.4725794518,20827.614518145,14095.0487551533,12970.8419714665,13595.130298783,21096.2932561201,3348.34075878848,5569.6077967437,69190.932267078,3996.86830436221,4138.28600983648,3589.75184530047,4289.70551256444,682.817009902283,1648.45328114729,0,10420.7162082452,8200.99550255647,12893.396129966,6713.82624974164
"rel_leopoldkanaal3",12352.1179475828,15149.1222031123,16056.2055673626,18494.636398769,19801.6852123672,22281.556517816,23164.3360653849,17646.1140163174,20225.9544783959,22233.0619316957,23047.230251395,24178.5718951891,25209.9120831425,26275.5901842435,27265.5141225633,1307.04881359757,100.001455840655,2765.52520472758,5689.6128470933,6131.01069568074,2814.08438927056,2955.50209474483,32745.0092134789,199.986762075452,2255.55650228448,9279.36469239377,7613.76667908187,9879.32497862013,10420.7162082452,7913.74682219505,21808.8088152729,22608.7477887717,23732.9545724586,24650.0397339626,10403.5714760805,18621.7117108017,17956.031358261,16390.3944267751,14783.2927968379,12951.9651865674,11486.3539353309,31437.911951063,28258.4503444832,28924.1226222208,29565.547606899,27517.023903965,23208.8291970427,30106.9711357359,23374.4053727442,22250.1985890574,22874.4869163739,30375.649873711,7072.3754494567,15990.3240049889,58770.2160588328,7013.8225424623,7155.24024793629,6830.96436294471,6131.01069568074,9962.17362749321,12069.1694893925,10420.7162082452,0,18621.7117108017,2472.67992172084,3706.88995850354
"rel_leopoldkanaal5",11273.7568325484,14070.7610880778,14977.8444523282,17416.2752837346,18723.3240973328,21203.1954027815,22085.9749503504,16567.752901283,19147.5933633614,21154.7008166613,21968.8691363606,23100.2107801546,24131.5509681081,25197.2290692091,26187.1530075288,19928.7605243992,18663.1360352382,15856.1865060741,12932.0988637084,12490.7010151209,21435.7961000722,21577.2138055465,51366.7209242808,18421.7249487262,20652.9937839359,9342.34701840788,11007.9450317198,8742.38673218153,8200.99550255647,10849.3906688838,20730.4477002385,21530.3866737372,22654.5934574241,23571.6786189282,8383.83753246728,0,724.257483944762,2231.31728402657,3838.41891396379,5669.7465242343,7135.35777547078,50059.6236618648,27180.0892294487,27845.7615071864,28487.1864918646,26438.6627889305,22130.4680820083,29028.6100207014,22296.0442577097,21171.837474023,21796.1258013395,29297.2887586766,11549.336261345,5611.13709361774,77391.9277696342,12197.8638069187,12339.281512393,11790.7473478569,12490.7010151209,8883.81251245875,6552.54222140918,8200.99550255647,18621.7117108017,0,21094.3916325225,14914.8217522981
"rel_leopoldkanaal2",14824.7978693037,17621.8021248331,18528.8854890835,20967.3163204898,22274.3651340881,24754.2364395368,25637.0159871057,20118.7939380383,22698.6344001167,24705.7418534165,25519.9101731158,26651.2518169099,27682.5920048634,28748.2701059643,29738.1940442841,1165.63110812327,2431.2555972843,5238.20512644842,8162.29276881414,8603.69061740158,341.404467549718,482.822173023984,30272.3292917581,2672.66668379629,2738.38675011136,11752.0446141146,10086.4466008027,12352.004900341,12893.396129966,10386.4267439159,24281.4887369937,25081.4277104925,26205.6344941794,27122.7196556835,12876.2513978014,21094.3916325225,20428.7112799818,18863.0743484959,17255.9727185587,15424.6451082882,13959.0338570517,28965.2320293422,30731.130266204,31396.8025439416,32038.2275286198,29989.7038256858,25681.5091187636,32579.6510574567,25847.085294465,24722.8785107783,25347.1668380947,32848.3297954318,9545.05537117754,18463.0039267097,56297.5361371119,9486.50246418315,9627.92016965714,9303.64428466555,8603.69061740158,12434.8535492141,14541.8494111133,12893.396129966,2472.67992172084,21094.3916325225,0,6179.56988022438
"rel_leopoldkanaal4",8645.22798907927,11442.2322446087,12349.3156088591,14787.7464402655,16094.7952538637,18574.6665593125,19457.4461068814,13939.2240578139,16519.0645198924,18526.1719731922,19340.3402928915,20471.6819366855,21503.022124639,22568.70022574,23558.6241640598,5013.93877210111,3748.31428294008,941.364753775958,1982.72288858976,2424.1207371772,6520.9743477741,6662.39205324836,36451.8991719825,3506.90319642809,5738.17203163774,5572.47473389023,3906.87672057833,6172.43502011659,6713.82624974164,4206.85686369151,18101.9188567694,18901.8578302681,20026.064613955,20943.1497754591,6696.681517577,14914.8217522981,14249.1413997575,12683.5044682716,11076.4028383343,9245.07522806382,7779.46397682734,35144.8019095666,24551.5603859797,25217.2326637173,25858.6576483955,23810.1339454615,19501.9392385392,26400.0811772324,19667.5154142406,18543.3086305539,19167.5969578704,26668.7599152075,3365.48549095316,12283.4340464854,62477.1060173364,3306.93258395877,3448.35028943276,3124.07440444117,2424.1207371772,6255.28366898967,8362.27953088893,6713.82624974164,3706.88995850354,14914.8217522981,6179.56988022438,0
