"","stour_1","stour_2","stour_3","stour_4","stour_5","stour_6","stour_13","stour_14","stour_17","stour_18","stour_19","stour_20","stour_23","stour_24","stour_25","stour_15","stour_21","stour_10","stour_16","stour_8","stour_7","stour_9","stour_11","stour_12","stour_22","rel_stour1","rel_stour2"
"stour_1",0,2430.41491946146,2430.41491946146,2472.14926135469,4524.91843684848,4566.65277874171,7003.28449204252,7587.40959919916,8455.26595949131,11685.7906625538,12169.7844850362,16792.6418602805,22909.0593655224,23609.9783582416,24010.5034969383,7245.28140328411,17093.035714303,5234.61196073014,7587.40959919916,4666.78406341587,4666.78406341587,4666.78406341587,5092.38094311741,7428.88137174538,21607.352664758,0,4666.78406341587
"stour_2",2430.41491946146,0,0,100.496675720438,2094.50351738702,2136.23785928024,4572.86957258105,5156.9946797377,6024.85104002984,9255.3757430923,9739.36956557478,14362.226940819,20478.6444460609,21179.5634387801,21580.0885774768,4814.86648382265,14662.6207948416,2804.19704126868,5156.9946797377,2236.36914395441,2236.36914395441,2236.36914395441,2661.96602365595,4998.46645228392,19176.9377452965,2430.41491946146,2236.36914395441
"stour_3",2430.41491946146,0,0,100.496675720438,2094.50351738702,2136.23785928024,4572.86957258105,5156.9946797377,6024.85104002984,9255.3757430923,9739.36956557478,14362.226940819,20478.6444460609,21179.5634387801,21580.0885774768,4814.86648382265,14662.6207948416,2804.19704126868,5156.9946797377,2236.36914395441,2236.36914395441,2236.36914395441,2661.96602365595,4998.46645228392,19176.9377452965,2430.41491946146,2236.36914395441
"stour_4",2472.14926135469,100.496675720438,100.496675720438,0,2052.7691754938,2094.50351738702,4531.13523068783,5115.26033784448,5983.11669813662,9213.64140119908,9697.63522368156,14320.4925989258,20436.9101041677,21137.8290968869,21538.3542355836,4773.13214192942,14620.8864529484,2762.46269937546,5115.26033784448,2194.63480206118,2194.63480206118,2194.63480206118,2620.23168176273,4956.73211039069,19135.2034034033,2472.14926135469,2194.63480206118
"stour_5",4524.91843684848,2094.50351738702,2094.50351738702,2052.7691754938,0,100.496675720438,2537.12838902098,3121.25349617763,3989.10985646977,7219.63455953223,7703.62838201471,12326.485757259,18442.9032625008,19143.82225522,19544.3473939167,2779.12530026257,12626.8796112815,768.455857708605,3121.25349617763,141.865626567387,141.865626567387,141.865626567387,626.224840095874,2962.72526872384,17141.1965617365,4524.91843684848,141.865626567387
"stour_6",4566.65277874171,2136.23785928024,2136.23785928024,2094.50351738702,100.496675720438,0,2436.63171330081,3020.75682045746,3888.6131807496,7119.13788381206,7603.13170629454,12225.9890815388,18342.4065867806,19043.3255794999,19443.8507181966,2678.62862454241,12526.3829355613,667.959181988438,3020.75682045746,100.131284674164,100.131284674164,100.131284674164,525.728164375707,2862.22859300368,17040.6998860163,4566.65277874171,100.131284674164
"stour_13",7003.28449204252,4572.86957258105,4572.86957258105,4531.13523068783,2537.12838902098,2436.63171330081,0,584.125107156648,1451.98146744879,4682.50617051125,5166.49999299373,9789.35736823798,15905.7748734798,16606.693866199,17007.2190048958,241.996911241592,10089.7512222605,1827.43486513934,584.125107156648,2395.26276245359,2395.26276245359,2395.26276245359,1910.90354892511,484.359213528758,14604.0681727155,7003.28449204252,2395.26276245359
"stour_14",7587.40959919916,5156.9946797377,5156.9946797377,5115.26033784448,3121.25349617763,3020.75682045746,584.125107156648,0,1211.08072934482,4441.60543240727,4925.59925488976,9548.456630134,15664.8741353759,16365.7931280951,16766.3182667918,625.859449049912,9848.85048415656,2411.55997229598,0,2979.38786961024,2979.38786961024,2979.38786961024,2495.02865608175,241.996911241551,14363.1674346115,7587.40959919917,2979.38786961024
"stour_17",8455.26595949131,6024.85104002984,6024.85104002984,5983.11669813662,3989.10985646977,3888.6131807496,1451.98146744879,1211.08072934482,0,3230.52470306246,3714.51852554494,8337.37590078919,14453.793406031,15154.7123987503,15555.237537447,1209.9845562072,8637.76975481174,3279.41633258812,1211.08072934482,3847.24422990238,3847.24422990238,3847.24422990238,3362.88501637389,1394.31530675942,13152.0867052667,8455.26595949131,3847.24422990238
"stour_18",11685.7906625538,9255.3757430923,9255.3757430923,9213.64140119908,7219.63455953223,7119.13788381206,4682.50617051125,4441.60543240727,3230.52470306246,0,483.993822482484,5106.85119772673,11223.2687029686,11924.1876956878,12324.7128343845,4440.50925926966,5407.24505174928,6509.94103565058,4441.60543240728,7077.76893296484,7077.76893296484,7077.76893296484,6593.40971943635,4624.84000982188,9921.56200220422,11685.7906625538,7077.76893296484
"stour_19",12169.7844850362,9739.36956557478,9739.36956557478,9697.63522368156,7703.62838201471,7603.13170629454,5166.49999299373,4925.59925488976,3714.51852554494,483.993822482484,0,4706.32605903069,10822.7435642726,11523.6625569918,11924.1876956885,4924.50308175214,5006.71991305324,6993.93485813307,4925.59925488976,7561.76275544732,7561.76275544732,7561.76275544732,7077.40354191883,5108.83383230437,9521.03686350819,12169.7844850362,7561.76275544732
"stour_20",16792.6418602805,14362.226940819,14362.226940819,14320.4925989258,12326.485757259,12225.9890815388,9789.35736823798,9548.456630134,8337.37590078919,5106.85119772673,4706.32605903069,0,6116.41750524186,6817.33649796106,7217.86163665778,9547.36045699639,300.39385402255,11616.7922333773,9548.45663013401,12184.6201306916,12184.6201306916,12184.6201306916,11700.2609171631,9731.69120754861,4814.71080447749,16792.6418602805,12184.6201306916
"stour_23",22909.0593655224,20478.6444460609,20478.6444460609,20436.9101041677,18442.9032625008,18342.4065867806,15905.7748734798,15664.8741353759,14453.793406031,11223.2687029686,10822.7435642726,6116.41750524186,0,700.918992719206,1101.44413141592,15663.7779622382,5816.02365121931,17733.2097386192,15664.8741353759,18301.0376359334,18301.0376359334,18301.0376359334,17816.6784224049,15848.1087127905,1301.70670076436,22909.0593655224,18301.0376359334
"stour_24",23609.9783582416,21179.5634387801,21179.5634387801,21137.8290968869,19143.82225522,19043.3255794999,16606.693866199,16365.7931280951,15154.7123987503,11924.1876956878,11523.6625569918,6817.33649796106,700.918992719206,0,400.525138696714,16364.6969549575,6516.94264393851,18434.1287313384,16365.7931280951,19001.9566286526,19001.9566286526,19001.9566286526,18517.5974151241,16549.0277055097,2002.62569348357,23609.9783582416,19001.9566286526
"stour_25",24010.5034969383,21580.0885774768,21580.0885774768,21538.3542355836,19544.3473939167,19443.8507181966,17007.2190048958,16766.3182667918,15555.237537447,12324.7128343845,11924.1876956885,7217.86163665778,1101.44413141592,400.525138696714,0,16765.2220936542,6917.46778263523,18834.6538700351,16766.3182667918,19402.4817673493,19402.4817673493,19402.4817673493,18918.1225538209,16949.5528442064,2403.15083218028,24010.5034969383,19402.4817673493
"stour_15",7245.28140328411,4814.86648382265,4814.86648382265,4773.13214192942,2779.12530026257,2678.62862454241,241.996911241592,625.859449049912,1209.9845562072,4440.50925926966,4924.50308175214,9547.36045699639,15663.7779622382,16364.6969549575,16765.2220936542,0,9847.75431101893,2069.43177638093,625.859449049912,2637.25967369519,2637.25967369519,2637.25967369519,2152.9004601667,526.093555422023,14362.0712614739,7245.28140328411,2637.25967369519
"stour_21",17093.035714303,14662.6207948416,14662.6207948416,14620.8864529484,12626.8796112815,12526.3829355613,10089.7512222605,9848.85048415656,8637.76975481174,5407.24505174928,5006.71991305324,300.39385402255,5816.02365121931,6516.94264393851,6917.46778263523,9847.75431101893,0,11917.1860873999,9848.85048415656,12485.0139847141,12485.0139847141,12485.0139847141,12000.6547711856,10032.0850615712,4514.31695045494,17093.035714303,12485.0139847141
"stour_10",5234.61196073014,2804.19704126868,2804.19704126868,2762.46269937546,768.455857708605,667.959181988438,1827.43486513934,2411.55997229598,3279.41633258812,6509.94103565058,6993.93485813307,11616.7922333773,17733.2097386192,18434.1287313384,18834.6538700351,2069.43177638093,11917.1860873999,0,2411.55997229598,626.590231141217,626.590231141217,626.590231141217,200.993351439945,2311.79407866809,16431.5030378548,5234.61196073014,626.590231141217
"stour_16",7587.40959919916,5156.9946797377,5156.9946797377,5115.26033784448,3121.25349617763,3020.75682045746,584.125107156648,0,1211.08072934482,4441.60543240728,4925.59925488976,9548.45663013401,15664.8741353759,16365.7931280951,16766.3182667918,625.859449049912,9848.85048415656,2411.55997229598,0,2979.38786961024,2979.38786961024,2979.38786961024,2495.02865608175,241.996911241551,14363.1674346115,7587.40959919917,2979.38786961024
"stour_8",4666.78406341587,2236.36914395441,2236.36914395441,2194.63480206118,141.865626567387,100.131284674164,2395.26276245359,2979.38786961024,3847.24422990238,7077.76893296484,7561.76275544732,12184.6201306916,18301.0376359334,19001.9566286526,19402.4817673493,2637.25967369519,12485.0139847141,626.590231141217,2979.38786961024,0,0,0,484.359213528487,2820.85964215646,16999.3309351691,4666.78406341587,0
"stour_7",4666.78406341587,2236.36914395441,2236.36914395441,2194.63480206118,141.865626567387,100.131284674164,2395.26276245359,2979.38786961024,3847.24422990238,7077.76893296484,7561.76275544732,12184.6201306916,18301.0376359334,19001.9566286526,19402.4817673493,2637.25967369519,12485.0139847141,626.590231141217,2979.38786961024,0,0,0,484.359213528487,2820.85964215646,16999.3309351691,4666.78406341587,0
"stour_9",4666.78406341587,2236.36914395441,2236.36914395441,2194.63480206118,141.865626567387,100.131284674164,2395.26276245359,2979.38786961024,3847.24422990238,7077.76893296484,7561.76275544732,12184.6201306916,18301.0376359334,19001.9566286526,19402.4817673493,2637.25967369519,12485.0139847141,626.590231141217,2979.38786961024,0,0,0,484.359213528487,2820.85964215646,16999.3309351691,4666.78406341587,0
"stour_11",5092.38094311741,2661.96602365595,2661.96602365595,2620.23168176273,626.224840095874,525.728164375707,1910.90354892511,2495.02865608175,3362.88501637389,6593.40971943635,7077.40354191883,11700.2609171631,17816.6784224049,18517.5974151241,18918.1225538209,2152.9004601667,12000.6547711856,200.993351439945,2495.02865608175,484.359213528487,484.359213528487,484.359213528487,0,2336.50042862797,16514.9717216406,5092.38094311741,484.359213528487
"stour_12",7428.88137174538,4998.46645228392,4998.46645228392,4956.73211039069,2962.72526872384,2862.22859300368,484.359213528758,241.996911241551,1394.31530675942,4624.84000982188,5108.83383230437,9731.69120754861,15848.1087127905,16549.0277055097,16949.5528442064,526.093555422023,10032.0850615712,2311.79407866809,241.996911241551,2820.85964215646,2820.85964215646,2820.85964215646,2336.50042862797,0,14546.4020120261,7428.88137174538,2820.85964215646
"stour_22",21607.352664758,19176.9377452965,19176.9377452965,19135.2034034033,17141.1965617365,17040.6998860163,14604.0681727155,14363.1674346115,13152.0867052667,9921.56200220422,9521.03686350819,4814.71080447749,1301.70670076436,2002.62569348357,2403.15083218028,14362.0712614739,4514.31695045494,16431.5030378548,14363.1674346115,16999.3309351691,16999.3309351691,16999.3309351691,16514.9717216406,14546.4020120261,0,21607.352664758,16999.3309351691
"rel_stour1",0,2430.41491946146,2430.41491946146,2472.14926135469,4524.91843684848,4566.65277874171,7003.28449204252,7587.40959919917,8455.26595949131,11685.7906625538,12169.7844850362,16792.6418602805,22909.0593655224,23609.9783582416,24010.5034969383,7245.28140328411,17093.035714303,5234.61196073014,7587.40959919917,4666.78406341587,4666.78406341587,4666.78406341587,5092.38094311741,7428.88137174538,21607.352664758,0,4666.78406341587
"rel_stour2",4666.78406341587,2236.36914395441,2236.36914395441,2194.63480206118,141.865626567387,100.131284674164,2395.26276245359,2979.38786961024,3847.24422990238,7077.76893296484,7561.76275544732,12184.6201306916,18301.0376359334,19001.9566286526,19402.4817673493,2637.25967369519,12485.0139847141,626.590231141217,2979.38786961024,0,0,0,484.359213528487,2820.85964215646,16999.3309351691,4666.78406341587,0
