"","gn-13","gn-11","gn-9","gn-8","gn-7","gn-6","gn-5","gn-4","gn-2","gn-1","bn-2","bn-Walem","ru-1","s-8a","s-10a","rel_grotenete3","s-11","gn-14","bn-1","s-9","s-STD3","ws-F42","ws-HW6","rel_kleinenete1","rel_kleinenete2","gn-10","gn-3","ws-42A","rel_grotenete1","me-7-2b","ws-F53","rel_grotenete2","rel_nete1","rel_nete2","rel_ruppel1","s-9a","s-8","s-12","ws-55","ws-51","ws-53A"
"gn-13",0,4338.37774435009,8300.9646591859,13122.0434545151,18060.2684378504,21357.2234489631,28041.1896533957,32486.5825916496,38728.981376633,39153.2344930565,42991.5807337938,51879.5158227605,59304.6904480306,69309.8185826219,82725.1272098976,2289.94286424895,97178.515219888,2389.9443200896,47285.5703189249,75016.9799020275,101134.128770676,122775.467494356,123665.398051638,56396.4192252435,81216.1334870048,5445.43979587217,36590.5710623538,122626.914928774,3438.45346461651,62750.1495759075,122936.904943945,5445.43979587217,43033.0050582303,39977.4692084331,63598.655808753,75258.3990633423,69609.8229501439,97278.5086009258,121874.142228809,123368.292920475,122388.378854212
"gn-11",4338.37774435009,0,3962.58691483582,8783.665710165,13721.8906935003,17018.845704613,23702.8119090456,28148.2048472996,34390.6036322829,34814.8567487064,38653.2029894437,47541.1380784104,54966.3127036805,64971.4408382719,78386.7494655475,6486.9109779277,92840.137475538,6586.91243376835,42947.1925745748,70678.6021576775,96795.751026326,118437.089750006,119327.020307288,52058.0414808934,76877.7557426548,1107.06205152208,32252.1933180037,118288.537184424,7635.42157829526,58411.7718315574,118598.527199595,1107.06205152208,38694.6273138802,35639.0914640829,59260.2780644029,70920.0213189923,65271.4452057938,92940.1308565757,117535.764484459,119029.915176125,118050.001109862
"gn-9",8300.9646591859,3962.58691483582,0,4879.6559267333,9817.88091006855,13114.8359211813,19798.8021256139,24244.1950638679,30486.5938488512,30910.8469652747,34749.193206012,43637.1282949787,51062.3029202488,61067.4310548401,74482.7396821159,10449.4978927635,88936.1276921063,10549.4993486042,39043.1827911431,66774.5923742458,92891.7412428944,114533.079966575,115423.010523857,48154.0316974616,72973.7459592231,2855.52486331373,28348.183534572,114384.527400992,11598.0084931311,54507.7620481257,114694.517416163,2855.52486331373,34790.6175304485,31735.0816806512,55356.2682809711,67016.0115355606,61367.4354223621,89036.1210731441,113631.754701027,115125.905392693,114145.991326431
"gn-8",13122.0434545151,8783.665710165,4879.6559267333,0,4938.22498333526,8235.17999444803,14919.1461988806,19364.5391371346,25606.9379221179,26031.1910385414,29869.5372792787,38757.4723682453,46182.6469935155,56187.7751281068,69603.0837553826,15270.5766880927,84056.4717653731,15370.5781439334,34163.5268644098,61894.9364475125,88012.0853161611,109653.424039841,110543.354597123,43274.3757707283,68094.0900324899,7676.60365864291,23468.5276078388,109504.871474259,16419.0872884603,49628.1061213923,109814.86148943,7676.60365864291,29910.9616037152,26855.425753918,50476.6123542378,62136.3556088273,56487.7794956288,84156.4651464108,108752.098774294,110246.24946596,109266.335399697
"gn-7",18060.2684378504,13721.8906935003,9817.88091006855,4938.22498333526,0,3296.95501111277,9980.92121554535,14426.3141537993,20668.7129387827,21092.9660552061,24931.3122959434,33819.2473849101,41244.4220101802,51249.5501447715,64664.8587720474,20208.801671428,79118.2467820379,20308.8031272686,29225.3018810745,56956.7114641772,83073.8603328259,104715.199056506,105605.129613788,38336.150787393,63155.8650491546,12614.8286419782,18530.3026245035,104566.646490924,21357.3122717955,44689.8811380571,104876.636506094,12614.8286419782,24972.73662038,21917.2007705827,45538.3873709026,57198.130625492,51549.5545122935,79218.2401630756,103813.873790959,105308.024482625,104328.110416362
"gn-6",21357.2234489631,17018.845704613,13114.8359211813,8235.17999444803,3296.95501111277,0,6683.96620443257,11129.3591426865,17371.7579276699,17796.0110440934,21634.3572848307,30522.2923737973,37947.4669990674,47952.5951336587,61367.9037609346,23505.7566825407,75821.2917709251,23605.7581383814,25928.3468699617,53659.7564530644,79776.9053217132,101418.244045393,102308.174602675,35039.1957762802,59858.9100380418,15911.783653091,15233.3476133907,101269.691479811,24654.2672829083,41392.9261269443,101579.681494982,15911.783653091,21675.7816092672,18620.2457594699,42241.4323597898,53901.1756143793,48252.5995011807,75921.2851519629,100516.918779846,102011.069471512,101031.155405249
"gn-5",28041.1896533957,23702.8119090456,19798.8021256139,14919.1461988806,9980.92121554535,6683.96620443257,0,4503.97006965809,10746.3688546415,11170.6219710649,15008.9682118022,23896.9033007689,31322.0779260389,41327.2060606302,54742.5146879061,30189.7228869733,69195.9026978968,30289.7243428139,19302.9577969333,47034.3673800359,73151.5162486848,94792.854972365,95682.7855296471,28413.8067032518,53233.5209650133,22595.7498575235,8607.95854036228,94644.3024067828,31338.2334873408,34767.5370539158,94954.2924219534,22595.7498575235,15050.3925362388,11994.8566864415,35616.0432867613,47275.7865413508,41627.2104281522,69295.8960789345,93891.5297068179,95385.6803984834,94405.766332221
"gn-4",32486.5825916496,28148.2048472996,24244.1950638679,19364.5391371346,14426.3141537993,11129.3591426865,4503.97006965809,0,6325.24743385645,6749.50055027991,10587.8467910172,19475.7818799839,26900.9565052539,36906.0846398452,50321.3932671211,34635.1158252272,64774.7812771118,34735.1172810679,14881.8363761483,42613.2459592509,68730.3948278998,90371.73355158,91261.6641088621,23992.6852824668,48812.3995442283,27041.1427957775,4186.83711957727,90223.1809859979,35783.6264255948,30346.4156331307,90533.1710011684,27041.1427957775,10629.2711154537,7573.73526565647,31194.9218659762,42854.6651205657,37206.0890073672,64874.7746581495,89470.4082860329,90964.5589776984,89984.644911436
"gn-2",38728.981376633,34390.6036322829,30486.5938488512,25606.9379221179,20668.7129387827,17371.7579276699,10746.3688546415,6325.24743385645,0,424.253116423457,4262.59935716074,13150.5344461274,20575.7090713975,30580.8372059887,43996.1458332646,40877.5146102107,58449.5338432553,40977.5160660513,8556.58894229184,36287.9985253944,62405.1473940434,84046.4861177237,84936.4166750058,17667.4378486104,42487.1521103718,33283.5415807608,2138.41031427918,83897.9335521415,42026.0252105782,24021.1681992743,84207.9235673121,33283.5415807608,4304.02368159728,1248.48783180002,24869.6744321198,36529.4176867092,30880.8415735107,58549.527224293,83145.1608521765,84639.3115438421,83659.3974775796
"gn-1",39153.2344930565,34814.8567487064,30910.8469652747,26031.1910385414,21092.9660552061,17796.0110440934,11170.6219710649,6749.50055027991,424.253116423457,0,3838.34624073729,12726.281329704,20151.455954974,30156.5840895653,43571.8927168411,41301.7677266341,58025.2807268318,41401.7691824748,8132.33582586838,35863.7454089709,61980.8942776199,83622.2330013002,84512.1635585823,17243.1847321869,42062.8989939484,33707.7946971843,2562.66343070264,83473.680435718,42450.2783270017,23596.9150828509,83783.6704508886,33707.7946971843,3879.77056517383,824.234715376563,24445.4213156964,36105.1645702858,30456.5884570872,58125.2741078696,82720.9077357531,84215.0584274186,83235.1443611562
"bn-2",42991.5807337938,38653.2029894437,34749.193206012,29869.5372792787,24931.3122959434,21634.3572848307,15008.9682118022,10587.8467910172,4262.59935716074,3838.34624073729,0,8887.93508896666,16313.1097142368,26318.237848828,39733.5464761038,45140.1139673714,54186.9344860945,45240.1154232121,4293.9895851311,32025.3991682336,58142.5480368826,79783.8867605629,80673.8173178451,19974.4931458109,44794.2074075723,37546.1409379216,6401.00967143992,79635.3341949808,46288.624567739,19758.5688421136,79945.3242101513,37546.1409379216,100.001455840655,3014.11152536072,20607.0750749591,32266.8183295485,26618.24221635,54286.9278671323,78882.5614950158,80376.7121866814,79396.7981204189
"bn-Walem",51879.5158227605,47541.1380784104,43637.1282949787,38757.4723682453,33819.2473849101,30522.2923737973,23896.9033007689,19475.7818799839,13150.5344461274,12726.281329704,8887.93508896666,0,7425.17462527007,17430.3027598614,30845.6113871371,54028.0490563382,45298.9993971278,54128.0505121788,4593.94550383556,23137.464079267,49254.6129479159,70895.9516715964,71785.8822288786,28862.4282347775,53682.142496539,46434.0760268883,15288.9447604066,70747.3991060143,55176.5596567057,10870.6337531469,71057.3891211848,46434.0760268883,8846.51076453012,11902.0466143274,11719.1399859924,23378.8832405818,17730.3071273833,45398.9927781655,69994.6264060493,71488.7770977149,70508.8630314524
"ru-1",59304.6904480306,54966.3127036805,51062.3029202488,46182.6469935155,41244.4220101802,37947.4669990674,31322.0779260389,26900.9565052539,20575.7090713975,20151.455954974,16313.1097142368,7425.17462527007,0,10005.1281345913,23420.4367618671,61453.2236816083,37873.8247718577,61553.2251374489,12019.1201291056,15712.289453997,41829.4383226458,63470.7770463264,64360.7076036086,36287.6028600476,61107.3171218092,53859.2506521584,22714.1193856766,63322.2244807443,62601.7342819758,3445.45912787687,63632.2144959148,53859.2506521584,16271.6853898002,19327.2212395975,4293.96536072235,15953.7086153118,10305.1325021133,37973.8181528954,62569.4517807793,64063.6024724449,63083.6884061824
"s-8a",69309.8185826219,64971.4408382719,61067.4310548401,56187.7751281068,51249.5501447715,47952.5951336587,41327.2060606302,36906.0846398452,30580.8372059887,30156.5840895653,26318.237848828,17430.3027598614,10005.1281345913,0,13415.3086272758,71458.3518161996,27868.6966372663,71558.3532720402,22024.2482636969,5707.16131940565,31824.3101880544,53465.6489117351,54355.5794690172,46292.7309946389,71112.4452564005,63864.3787867498,32719.2475202679,53317.0963461529,72606.8624165671,6559.66900671446,53627.0863613235,63864.3787867498,26276.8135243915,29332.3493741887,5711.16277386895,5948.58048072049,300.004367521964,27968.6900183041,52564.323646188,54058.4743378535,53078.5602715911
"s-10a",82725.1272098976,78386.7494655475,74482.7396821159,69603.0837553826,64664.8587720474,61367.9037609346,54742.5146879061,50321.3932671211,43996.1458332646,43571.8927168411,39733.5464761038,30845.6113871371,23420.4367618671,13415.3086272758,0,84873.6604434752,14453.3880099906,84973.6618993159,35439.5568909727,7708.14730787013,18409.0015607787,40050.3402844592,40940.2708417414,59708.0396219148,84527.7538836761,77279.6874140255,46134.5561475438,39901.7877188771,86022.1710438428,19974.9776339902,40211.7777340476,77279.6874140255,39692.1221516673,42747.6580014646,19126.4714011447,7466.72814655529,13115.3042597538,14553.3813910283,39149.0150189121,40643.1657105777,39663.2516443152
"rel_grotenete3",2289.94286424895,6486.9109779277,10449.4978927635,15270.5766880927,20208.801671428,23505.7566825407,30189.7228869733,34635.1158252272,40877.5146102107,41301.7677266341,45140.1139673714,54028.0490563382,61453.2236816083,71458.3518161996,84873.6604434752,0,99327.0484534656,100.001455840655,49434.1035525026,77165.5131356051,103282.662004254,124924.000727934,125813.931285216,58544.9524588211,83364.6667205824,7593.97302944978,38739.1042959315,124775.448162352,1148.51060036756,64898.6828094851,125085.438177522,7593.97302944978,45181.538291808,42126.0024420107,65747.1890423306,77406.9322969199,71758.3561837215,99427.0418345034,124022.675462387,125516.826154052,124536.91208779
"s-11",97178.515219888,92840.137475538,88936.1276921063,84056.4717653731,79118.2467820379,75821.2917709251,69195.9026978968,64774.7812771118,58449.5338432553,58025.2807268318,54186.9344860945,45298.9993971278,37873.8247718577,27868.6966372663,14453.3880099906,99327.0484534656,0,99427.0499093063,49892.9449009634,22161.5353178607,3955.6135507881,25596.9522744686,26486.8828317508,74161.4276319053,98981.1418936666,91733.0754240159,60587.9441575344,25448.3997088865,100475.559053833,34428.3656439808,25758.389724057,91733.0754240159,54145.510161658,57201.0460114552,33579.8594111353,21920.1161565459,27568.6922697444,99.9933810377261,24695.6270089215,26189.7777005871,25209.8636343246
"gn-14",2389.9443200896,6586.91243376835,10549.4993486042,15370.5781439334,20308.8031272686,23605.7581383814,30289.7243428139,34735.1172810679,40977.5160660513,41401.7691824748,45240.1154232121,54128.0505121788,61553.2251374489,71558.3532720402,84973.6618993159,100.001455840655,99427.0499093063,0,49534.1050083432,77265.5145914458,103382.663460094,125024.002183775,125913.932741057,58644.9539146617,83464.6681764231,7693.97448529044,38839.1057517721,124875.449618192,1048.50914452691,64998.6842653258,125185.439633363,7693.97448529044,45281.5397476486,42226.0038978513,65847.1904981713,77506.9337527606,71858.3576395621,99527.043290344,124122.676918227,125616.827609893,124636.91354363
"bn-1",47285.5703189249,42947.1925745748,39043.1827911431,34163.5268644098,29225.3018810745,25928.3468699617,19302.9577969333,14881.8363761483,8556.58894229184,8132.33582586838,4293.9895851311,4593.94550383556,12019.1201291056,22024.2482636969,35439.5568909727,49434.1035525026,49892.9449009634,49534.1050083432,0,27731.4095831025,53848.5584517515,75489.8971754319,76379.8277327141,24268.4827309419,49088.1969927034,41840.1305230527,10694.999256571,75341.3446098498,50582.6141528701,15464.5792569825,75651.3346250203,41840.1305230527,4252.56526069456,7308.10111049182,16313.085489828,27972.8287444174,22324.2526312189,49992.9382820011,74588.5719098848,76082.7226015504,75102.8085352879
"s-9",75016.9799020275,70678.6021576775,66774.5923742458,61894.9364475125,56956.7114641772,53659.7564530644,47034.3673800359,42613.2459592509,36287.9985253944,35863.7454089709,32025.3991682336,23137.464079267,15712.289453997,5707.16131940565,7708.14730787013,77165.5131356051,22161.5353178607,77265.5145914458,27731.4095831025,0,26117.1488686488,47758.4875923294,48648.4181496116,51999.8923140446,76819.6065758061,69571.5401061554,38426.4088396736,47609.9350267473,78314.0237359727,12266.8303261201,47919.9250419178,69571.5401061554,31983.9748437971,35039.5106935944,11418.3240932746,241.419161314839,5407.15695188369,22261.5286988984,46857.1623267823,48351.3130184479,47371.3989521854
"s-STD3",101134.128770676,96795.751026326,92891.7412428944,88012.0853161611,83073.8603328259,79776.9053217132,73151.5162486848,68730.3948278998,62405.1473940434,61980.8942776199,58142.5480368826,49254.6129479159,41829.4383226458,31824.3101880544,18409.0015607787,103282.662004254,3955.6135507881,103382.663460094,53848.5584517515,26117.1488686488,0,21641.3387236806,22531.2692809627,78117.0411826934,102936.755444455,95688.6889748039,64543.5577083225,21492.7861580984,104431.172604621,38383.9791947689,21802.776173269,95688.6889748039,58101.1237124461,61156.6595622433,37535.4729619234,25875.729707334,31524.3058205325,3855.62016975037,20740.0134581334,22234.164149799,21254.2500835365
"ws-F42",122775.467494356,118437.089750006,114533.079966575,109653.424039841,104715.199056506,101418.244045393,94792.854972365,90371.73355158,84046.4861177237,83622.2330013002,79783.8867605629,70895.9516715964,63470.7770463264,53465.6489117351,40050.3402844592,124924.000727934,25596.9522744686,125024.002183775,75489.8971754319,47758.4875923294,21641.3387236806,0,948.507688686251,99758.3799063736,124578.094168135,117330.027698484,86184.8964320028,641.424984678198,126072.511328301,60025.3179184497,1589.93267336445,117330.027698484,79742.4624361265,82797.9982859236,59176.8116856042,47517.0684310146,53165.6445442132,25496.9588934309,3024.29096828048,1007.06867048517,2065.69265950754
"ws-HW6",123665.398051638,119327.020307288,115423.010523857,110543.354597123,105605.129613788,102308.174602675,95682.7855296471,91261.6641088621,84936.4166750058,84512.1635585823,80673.8173178451,71785.8822288786,64360.7076036086,54355.5794690172,40940.2708417414,125813.931285216,26486.8828317508,125913.932741057,76379.8277327141,48648.4181496116,22531.2692809627,948.507688686251,0,100648.310463656,125468.024725417,118219.958255766,87074.8269892849,1507.10017409723,126962.441885584,60915.2484757318,2041.44536644736,118219.958255766,80632.3929934086,83687.9288432058,60066.7422428863,48406.9989882968,54055.5751014954,26386.889450713,3724.30115916506,1282.84996935574,2682.8703511249
"rel_kleinenete1",56396.4192252435,52058.0414808934,48154.0316974616,43274.3757707283,38336.150787393,35039.1957762802,28413.8067032518,23992.6852824668,17667.4378486104,17243.1847321869,19974.4931458109,28862.4282347775,36287.6028600476,46292.7309946389,59708.0396219148,58544.9524588211,74161.4276319053,58644.9539146617,24268.4827309419,51999.8923140446,78117.0411826934,99758.3799063736,100648.310463656,0,24819.7142617614,50950.9794293713,19805.8481628895,99609.8273407915,59693.4630591887,39733.0619879244,99919.817355962,50950.9794293713,20015.9174702474,16960.3816204501,40581.5682207699,52241.3114753594,46592.7353621609,74261.4210129431,98857.0546408265,100351.205332492,99371.2912662296
"rel_kleinenete2",81216.1334870048,76877.7557426548,72973.7459592231,68094.0900324899,63155.8650491546,59858.9100380418,53233.5209650133,48812.3995442283,42487.1521103718,42062.8989939484,44794.2074075723,53682.142496539,61107.3171218092,71112.4452564005,84527.7538836761,83364.6667205824,98981.1418936666,83464.6681764231,49088.1969927034,76819.6065758061,102936.755444455,124578.094168135,125468.024725417,24819.7142617614,0,75770.6936911327,44625.562424651,124429.541602553,84513.1773209499,64552.776249686,124739.531617723,75770.6936911327,44835.6317320088,41780.0958822115,65401.2824825315,77061.0257371207,71412.4496239223,99081.1352747042,123676.768902588,125170.919594253,124191.005527991
"gn-10",5445.43979587217,1107.06205152208,2855.52486331373,7676.60365864291,12614.8286419782,15911.783653091,22595.7498575235,27041.1427957775,33283.5415807608,33707.7946971843,37546.1409379216,46434.0760268883,53859.2506521584,63864.3787867498,77279.6874140255,7593.97302944978,91733.0754240159,7693.97448529044,41840.1305230527,69571.5401061554,95688.6889748039,117330.027698484,118219.958255766,50950.9794293713,75770.6936911327,0,31145.1312664817,117181.475132902,8742.48362981734,57304.7097800353,117491.465148073,0,37587.5652623581,34532.0294125608,58153.2160128808,69812.9592674702,64164.3831542717,91833.0688050536,116428.702432937,117922.853124603,116942.93905834
"gn-3",36590.5710623538,32252.1933180037,28348.183534572,23468.5276078388,18530.3026245035,15233.3476133907,8607.95854036228,4186.83711957727,2138.41031427918,2562.66343070264,6401.00967143992,15288.9447604066,22714.1193856766,32719.2475202679,46134.5561475438,38739.1042959315,60587.9441575344,38839.1057517721,10694.999256571,38426.4088396736,64543.5577083225,86184.8964320028,87074.8269892849,19805.8481628895,44625.562424651,31145.1312664817,0,86036.3438664206,39887.614896299,26159.5785135535,86346.3338815912,31145.1312664816,6442.43399587646,3386.8981460792,27008.084746399,38667.8280009884,33019.2518877899,60687.9375385722,85283.5711664557,86777.7218581212,85797.8077918588
"ws-42A",122626.914928774,118288.537184424,114384.527400992,109504.871474259,104566.646490924,101269.691479811,94644.3024067828,90223.1809859979,83897.9335521415,83473.680435718,79635.3341949808,70747.3991060143,63322.2244807443,53317.0963461529,39901.7877188771,124775.448162352,25448.3997088865,124875.449618192,75341.3446098498,47609.9350267473,21492.7861580984,641.424984678198,1507.10017409723,99609.8273407915,124429.541602553,117181.475132902,86036.3438664206,0,125923.958762719,59876.7653528675,948.507688686251,117181.475132902,79593.9098705444,82649.4457203415,59028.259120022,47368.5158654324,53017.091978631,25348.4063278487,2382.86598360228,741.377991700623,1424.26767482934
"rel_grotenete1",3438.45346461651,7635.42157829526,11598.0084931311,16419.0872884603,21357.3122717955,24654.2672829083,31338.2334873408,35783.6264255948,42026.0252105782,42450.2783270017,46288.624567739,55176.5596567057,62601.7342819758,72606.8624165671,86022.1710438428,1148.51060036756,100475.559053833,1048.50914452691,50582.6141528701,78314.0237359727,104431.172604621,126072.511328301,126962.441885584,59693.4630591887,84513.1773209499,8742.48362981734,39887.614896299,125923.958762719,0,66047.1934098527,126233.94877789,8742.48362981734,46330.0488921755,43274.5130423782,66895.6996426982,78555.4428972875,72906.866784089,100575.552434871,125171.186062754,126665.33675442,125685.422688157
"me-7-2b",62750.1495759075,58411.7718315574,54507.7620481257,49628.1061213923,44689.8811380571,41392.9261269443,34767.5370539158,30346.4156331307,24021.1681992743,23596.9150828509,19758.5688421136,10870.6337531469,3445.45912787687,6559.66900671446,19974.9776339902,64898.6828094851,34428.3656439808,64998.6842653258,15464.5792569825,12266.8303261201,38383.9791947689,60025.3179184497,60915.2484757318,39733.0619879244,64552.776249686,57304.7097800353,26159.5785135535,59876.7653528675,66047.1934098527,0,60186.755368038,57304.7097800353,19717.1445176771,22772.6803674743,848.506232845514,12508.249487435,6859.67337423643,34528.3590250185,59123.9926529024,60618.143344568,59638.2292783056
"ws-F53",122936.904943945,118598.527199595,114694.517416163,109814.86148943,104876.636506094,101579.681494982,94954.2924219534,90533.1710011684,84207.9235673121,83783.6704508886,79945.3242101513,71057.3891211848,63632.2144959148,53627.0863613235,40211.7777340476,125085.438177522,25758.389724057,125185.439633363,75651.3346250203,47919.9250419178,21802.776173269,1589.93267336445,2041.44536644736,99919.817355962,124739.531617723,117491.465148073,86346.3338815912,948.507688686251,126233.94877789,60186.755368038,0,117491.465148073,79903.899885715,82959.4357355121,59338.2491351925,47678.505880603,53327.0819938016,25658.3963430193,1765.68829198492,841.427896358849,724.257483944762
"rel_grotenete2",5445.43979587217,1107.06205152208,2855.52486331373,7676.60365864291,12614.8286419782,15911.783653091,22595.7498575235,27041.1427957775,33283.5415807608,33707.7946971843,37546.1409379216,46434.0760268883,53859.2506521584,63864.3787867498,77279.6874140255,7593.97302944978,91733.0754240159,7693.97448529044,41840.1305230527,69571.5401061554,95688.6889748039,117330.027698484,118219.958255766,50950.9794293713,75770.6936911327,0,31145.1312664816,117181.475132902,8742.48362981734,57304.7097800353,117491.465148073,0,37587.5652623581,34532.0294125608,58153.2160128808,69812.9592674702,64164.3831542717,91833.0688050536,116428.702432937,117922.853124603,116942.93905834
"rel_nete1",43033.0050582303,38694.6273138802,34790.6175304485,29910.9616037152,24972.73662038,21675.7816092672,15050.3925362388,10629.2711154537,4304.02368159728,3879.77056517383,100.001455840655,8846.51076453012,16271.6853898002,26276.8135243915,39692.1221516673,45181.538291808,54145.510161658,45281.5397476486,4252.56526069456,31983.9748437971,58101.1237124461,79742.4624361265,80632.3929934086,20015.9174702474,44835.6317320088,37587.5652623581,6442.43399587646,79593.9098705444,46330.0488921755,19717.1445176771,79903.899885715,37587.5652623581,0,3055.53584979726,20565.6507505225,32225.3940051119,26576.8178919134,54245.5035426957,78841.1371705793,80335.2878622448,79355.3737959824
"rel_nete2",39977.4692084331,35639.0914640829,31735.0816806512,26855.425753918,21917.2007705827,18620.2457594699,11994.8566864415,7573.73526565647,1248.48783180002,824.234715376563,3014.11152536072,11902.0466143274,19327.2212395975,29332.3493741887,42747.6580014646,42126.0024420107,57201.0460114552,42226.0038978513,7308.10111049182,35039.5106935944,61156.6595622433,82797.9982859236,83687.9288432058,16960.3816204501,41780.0958822115,34532.0294125608,3386.8981460792,82649.4457203415,43274.5130423782,22772.6803674743,82959.4357355121,34532.0294125608,3055.53584979726,0,23621.1866003198,35280.9298549092,29632.3537417107,57301.039392493,81896.6730203765,83390.8237120421,82410.9096457796
"rel_ruppel1",63598.655808753,59260.2780644029,55356.2682809711,50476.6123542378,45538.3873709026,42241.4323597898,35616.0432867613,31194.9218659762,24869.6744321198,24445.4213156964,20607.0750749591,11719.1399859924,4293.96536072235,5711.16277386895,19126.4714011447,65747.1890423306,33579.8594111353,65847.1904981713,16313.085489828,11418.3240932746,37535.4729619234,59176.8116856042,60066.7422428863,40581.5682207699,65401.2824825315,58153.2160128808,27008.084746399,59028.259120022,66895.6996426982,848.506232845514,59338.2491351925,58153.2160128808,20565.6507505225,23621.1866003198,0,11659.7432545894,6011.16714139091,33679.852792173,58275.4864200569,59769.6371117225,58789.72304546
"s-9a",75258.3990633423,70920.0213189923,67016.0115355606,62136.3556088273,57198.130625492,53901.1756143793,47275.7865413508,42854.6651205657,36529.4176867092,36105.1645702858,32266.8183295485,23378.8832405818,15953.7086153118,5948.58048072049,7466.72814655529,77406.9322969199,21920.1161565459,77506.9337527606,27972.8287444174,241.419161314839,25875.729707334,47517.0684310146,48406.9989882968,52241.3114753594,77061.0257371207,69812.9592674702,38667.8280009884,47368.5158654324,78555.4428972875,12508.249487435,47678.505880603,69812.9592674702,32225.3940051119,35280.9298549092,11659.7432545894,0,5648.57611319853,22020.1095375836,46615.7431654675,48109.893857133,47129.9797908706
"s-8",69609.8229501439,65271.4452057938,61367.4354223621,56487.7794956288,51549.5545122935,48252.5995011807,41627.2104281522,37206.0890073672,30880.8415735107,30456.5884570872,26618.24221635,17730.3071273833,10305.1325021133,300.004367521964,13115.3042597538,71758.3561837215,27568.6922697444,71858.3576395621,22324.2526312189,5407.15695188369,31524.3058205325,53165.6445442132,54055.5751014954,46592.7353621609,71412.4496239223,64164.3831542717,33019.2518877899,53017.091978631,72906.866784089,6859.67337423643,53327.0819938016,64164.3831542717,26576.8178919134,29632.3537417107,6011.16714139091,5648.57611319853,0,27668.6856507821,52264.319278666,53758.4699703316,52778.5559040691
"s-12",97278.5086009258,92940.1308565757,89036.1210731441,84156.4651464108,79218.2401630756,75921.2851519629,69295.8960789345,64874.7746581495,58549.527224293,58125.2741078696,54286.9278671323,45398.9927781655,37973.8181528954,27968.6900183041,14553.3813910283,99427.0418345034,99.9933810377261,99527.043290344,49992.9382820011,22261.5286988984,3855.62016975037,25496.9588934309,26386.889450713,74261.4210129431,99081.1352747042,91833.0688050536,60687.9375385722,25348.4063278487,100575.552434871,34528.3590250185,25658.3963430193,91833.0688050536,54245.5035426957,57301.039392493,33679.852792173,22020.1095375836,27668.6856507821,0,24595.6336278838,26089.7843195494,25109.8702532869
"ws-55",121874.142228809,117535.764484459,113631.754701027,108752.098774294,103813.873790959,100516.918779846,93891.5297068179,89470.4082860329,83145.1608521765,82720.9077357531,78882.5614950158,69994.6264060493,62569.4517807793,52564.323646188,39149.0150189121,124022.675462387,24695.6270089215,124122.676918227,74588.5719098848,46857.1623267823,20740.0134581334,3024.29096828048,3724.30115916506,98857.0546408265,123676.768902588,116428.702432937,85283.5711664557,2382.86598360228,125171.186062754,59123.9926529024,1765.68829198492,116428.702432937,78841.1371705793,81896.6730203765,58275.4864200569,46615.7431654675,52264.319278666,24595.6336278838,0,2607.11618834377,1041.43080804016
"ws-51",123368.292920475,119029.915176125,115125.905392693,110246.24946596,105308.024482625,102011.069471512,95385.6803984834,90964.5589776984,84639.3115438421,84215.0584274186,80376.7121866814,71488.7770977149,64063.6024724449,54058.4743378535,40643.1657105777,125516.826154052,26189.7777005871,125616.827609893,76082.7226015504,48351.3130184479,22234.164149799,1007.06867048517,1282.84996935574,100351.205332492,125170.919594253,117922.853124603,86777.7218581212,741.377991700623,126665.33675442,60618.143344568,841.427896358849,117922.853124603,80335.2878622448,83390.8237120421,59769.6371117225,48109.893857133,53758.4699703316,26089.7843195494,2607.11618834377,0,1565.68538030361
"ws-53A",122388.378854212,118050.001109862,114145.991326431,109266.335399697,104328.110416362,101031.155405249,94405.766332221,89984.644911436,83659.3974775796,83235.1443611562,79396.7981204189,70508.8630314524,63083.6884061824,53078.5602715911,39663.2516443152,124536.91208779,25209.8636343246,124636.91354363,75102.8085352879,47371.3989521854,21254.2500835365,2065.69265950754,2682.8703511249,99371.2912662296,124191.005527991,116942.93905834,85797.8077918588,1424.26767482934,125685.422688157,59638.2292783056,724.257483944762,116942.93905834,79355.3737959824,82410.9096457796,58789.72304546,47129.9797908706,52778.5559040691,25109.8702532869,1041.43080804016,1565.68538030361,0
