"","Rusne-4","Rusne-3","Rusne-1","Rusne-2","klaipeda-3","above-kaunas-3","above-kaunas-2","above-kaunas-4","above-kaunas-1","below-kaunas-3","below-kaunas-4","klaipeda-4","klaipeda-1","klaipeda-2","below-kaunas-2","below-kaunas-1","rel_semp2","rel_semp1","rel_semp6","rel_semp4","rel_semp5","rel_semp7","rel_semp3"
"Rusne-4",0,1931.04759689042,2779.54102712678,4876.51150783394,78518.1386493693,215744.721237016,215544.668372591,215744.721237016,215544.668372591,215544.668372591,215261.837229179,81629.1591182871,81346.327974875,83195.0857272368,215544.668372591,215544.668372591,296929.400129575,468577.078199692,429101.928943501,385857.823246403,376291.562014528,215544.668372591,417286.431753576
"Rusne-3",1931.04759689042,0,848.493430236364,2945.46391094353,76587.0910524789,217558.616357083,217358.563492658,217558.616357083,217358.563492658,217358.563492658,217075.732349246,79698.1115213967,79415.2803779846,81264.0381303464,217358.563492658,217358.563492658,298743.295249641,470390.973319759,430915.824063568,387671.718366469,378105.457134594,217358.563492658,419100.326873643
"Rusne-1",2779.54102712678,848.493430236364,0,2096.97048070716,75738.5976222425,218407.109787319,218207.056922894,218407.109787319,218207.056922894,218207.056922894,217924.225779482,78849.6180911603,78566.7869477482,80415.54470011,218207.056922894,218207.056922894,299591.788679877,471239.466749995,431764.317493804,388520.211796706,378953.95056483,218207.056922894,419948.820303879
"Rusne-2",4876.51150783394,2945.46391094353,2096.97048070716,0,73641.6271415354,220504.080268026,220304.027403601,220504.080268026,220304.027403601,220304.027403601,220021.196260189,76752.6476104531,76469.8164670411,78318.5742194029,220304.027403601,220304.027403601,301688.759160584,473336.437230702,433861.287974511,390617.182277413,381050.921045537,220304.027403601,422045.790784586
"klaipeda-3",78518.1386493693,76587.0910524789,75738.5976222425,73641.6271415354,0,294145.70740956,293945.654545135,294145.70740956,293945.654545135,293945.654545135,293662.823401723,3228.17294574163,2945.34180232956,4794.09955469135,293945.654545135,293945.654545135,375330.386302116,546978.064372234,507502.915116043,464258.809418945,454692.548187069,293945.654545135,495687.417926118
"above-kaunas-3",215744.721237016,217558.616357083,218407.109787319,220504.080268026,294145.70740956,0,200.052864425117,0,200.052864425117,200.052864425117,482.884007837184,297256.727878478,296973.896735066,298822.654487428,200.052864425117,200.052864425117,112857.255392321,284504.933462444,245029.784206253,201785.678509153,192219.417277277,200.052864425117,233214.287016327
"above-kaunas-2",215544.668372591,217358.563492658,218207.056922894,220304.027403601,293945.654545135,200.052864425117,0,200.052864425117,0,0,282.831143412066,297056.675014053,296773.843870641,298622.601623003,0,0,112657.202527896,284304.880598019,244829.731341828,201585.625644728,192019.364412852,0,233014.234151902
"above-kaunas-4",215744.721237016,217558.616357083,218407.109787319,220504.080268026,294145.70740956,0,200.052864425117,0,200.052864425117,200.052864425117,482.884007837184,297256.727878478,296973.896735066,298822.654487428,200.052864425117,200.052864425117,112857.255392321,284504.933462444,245029.784206253,201785.678509153,192219.417277277,200.052864425117,233214.287016327
"above-kaunas-1",215544.668372591,217358.563492658,218207.056922894,220304.027403601,293945.654545135,200.052864425117,0,200.052864425117,0,0,282.831143412066,297056.675014053,296773.843870641,298622.601623003,0,0,112657.202527896,284304.880598019,244829.731341828,201585.625644728,192019.364412852,0,233014.234151902
"below-kaunas-3",215544.668372591,217358.563492658,218207.056922894,220304.027403601,293945.654545135,200.052864425117,0,200.052864425117,0,0,282.831143412066,297056.675014053,296773.843870641,298622.601623003,0,0,112657.202527896,284304.880598019,244829.731341828,201585.625644728,192019.364412852,0,233014.234151902
"below-kaunas-4",215261.837229179,217075.732349246,217924.225779482,220021.196260189,293662.823401723,482.884007837184,282.831143412066,482.884007837184,282.831143412066,282.831143412066,0,296773.843870641,296491.012727229,298339.770479591,282.831143412066,282.831143412066,112374.371384484,284022.049454607,244546.900198416,201302.794501316,191736.53326944,282.831143412066,232731.40300849
"klaipeda-4",81629.1591182871,79698.1115213967,78849.6180911603,76752.6476104531,3228.17294574163,297256.727878478,297056.675014053,297256.727878478,297056.675014053,297056.675014053,296773.843870641,0,282.831143412066,1565.92660894972,297056.675014053,297056.675014053,378441.406771034,550089.084841152,510613.935584961,467369.829887862,457803.568655987,297056.675014053,498798.438395035
"klaipeda-1",81346.327974875,79415.2803779846,78566.7869477482,76469.8164670411,2945.34180232956,296973.896735066,296773.843870641,296973.896735066,296773.843870641,296773.843870641,296491.012727229,282.831143412066,0,1848.75775236179,296773.843870641,296773.843870641,378158.575627622,549806.25369774,510331.104441549,467086.99874445,457520.737512575,296773.843870641,498515.607251623
"klaipeda-2",83195.0857272368,81264.0381303464,80415.54470011,78318.5742194029,4794.09955469135,298822.654487428,298622.601623003,298822.654487428,298622.601623003,298622.601623003,298339.770479591,1565.92660894972,1848.75775236179,0,298622.601623002,298622.601623002,380007.333379983,551655.011450101,512179.86219391,468935.756496812,459369.495264936,298622.601623002,500364.365003985
"below-kaunas-2",215544.668372591,217358.563492658,218207.056922894,220304.027403601,293945.654545135,200.052864425117,0,200.052864425117,0,0,282.831143412066,297056.675014053,296773.843870641,298622.601623002,0,0,112657.202527896,284304.880598019,244829.731341828,201585.625644728,192019.364412852,0,233014.234151902
"below-kaunas-1",215544.668372591,217358.563492658,218207.056922894,220304.027403601,293945.654545135,200.052864425117,0,200.052864425117,0,0,282.831143412066,297056.675014053,296773.843870641,298622.601623002,0,0,112657.202527896,284304.880598019,244829.731341828,201585.625644728,192019.364412852,0,233014.234151902
"rel_semp2",296929.400129575,298743.295249641,299591.788679877,301688.759160584,375330.386302116,112857.255392321,112657.202527896,112857.255392321,112657.202527896,112657.202527896,112374.371384484,378441.406771034,378158.575627622,380007.333379983,112657.202527896,112657.202527896,0,272599.366693406,233124.217437214,94323.1696992546,180313.850508238,112657.202527896,221308.720247289
"rel_semp1",468577.078199692,470390.973319759,471239.466749995,473336.437230702,546978.064372234,284504.933462444,284304.880598019,284504.933462444,284304.880598019,284304.880598019,284022.049454607,550089.084841152,549806.25369774,551655.011450101,284304.880598019,284304.880598019,272599.366693406,0,39475.1492561919,361527.789810233,92285.5161851679,284304.880598019,51290.6464461177
"rel_semp6",429101.928943501,430915.824063568,431764.317493804,433861.287974511,507502.915116043,245029.784206253,244829.731341828,245029.784206253,244829.731341828,244829.731341828,244546.900198416,510613.935584961,510331.104441549,512179.86219391,244829.731341828,244829.731341828,233124.217437214,39475.1492561919,0,322052.640554043,52810.3669289758,244829.731341828,11815.4971899257
"rel_semp4",385857.823246403,387671.718366469,388520.211796706,390617.182277413,464258.809418945,201785.678509153,201585.625644728,201785.678509153,201585.625644728,201585.625644728,201302.794501316,467369.829887862,467086.99874445,468935.756496812,201585.625644728,201585.625644728,94323.1696992546,361527.789810233,322052.640554043,0,269242.27362507,201585.625644728,310237.143364119
"rel_semp5",376291.562014528,378105.457134594,378953.95056483,381050.921045537,454692.548187069,192219.417277277,192019.364412852,192219.417277277,192019.364412852,192019.364412852,191736.53326944,457803.568655987,457520.737512575,459369.495264936,192019.364412852,192019.364412852,180313.850508238,92285.5161851679,52810.3669289758,269242.27362507,0,192019.364412852,40994.86973905
"rel_semp7",215544.668372591,217358.563492658,218207.056922894,220304.027403601,293945.654545135,200.052864425117,0,200.052864425117,0,0,282.831143412066,297056.675014053,296773.843870641,298622.601623002,0,0,112657.202527896,284304.880598019,244829.731341828,201585.625644728,192019.364412852,0,233014.234151902
"rel_semp3",417286.431753576,419100.326873643,419948.820303879,422045.790784586,495687.417926118,233214.287016327,233014.234151902,233214.287016327,233014.234151902,233014.234151902,232731.40300849,498798.438395035,498515.607251623,500364.365003985,233014.234151902,233014.234151902,221308.720247289,51290.6464461177,11815.4971899257,310237.143364119,40994.86973905,233014.234151902,0
