"","above-kaunas-2","above-kaunas-3","above-kaunas-4","above-kaunas-1","Rusne-1","Rusne-2","Rusne-3","Rusne-4","klaipeda-1","klaipeda-4","klaipeda-2","klaipeda-3","below-kaunas-2","below-kaunas-3","below-kaunas-4","below-kaunas-1","rel_semp1","rel_semp2","rel_semp3","rel_semp4","rel_semp5","rel_semp6","rel_semp7"
"above-kaunas-2",0,146.972287865582,81.5715554689523,146.972287865711,212722.59584678,214975.692633981,211889.992028911,210142.495397596,289503.703920475,289813.819319278,291396.737959441,286539.344180426,146.972287865582,146.972287865582,293.944575731163,146.972287865582,255156.559933522,105128.331598823,207856.863015716,189529.039421752,170523.297441189,219369.413290497,146.972287865711
"above-kaunas-3",146.972287865582,0,122.257657178678,293.944575731293,212706.425023708,214959.521810909,211873.821205838,210126.324574524,289487.533097402,289797.648496206,291380.567136369,286523.173357354,244.515314357355,244.515314357355,391.487602222937,244.515314357355,255140.38911045,105112.16077575,207840.692192644,189512.868598679,170507.126618117,219353.242467424,293.944575731293
"above-kaunas-4",81.5715554689523,122.257657178678,0,228.543843334663,212641.024291311,214894.121078512,211808.420473442,210060.923842127,289422.132365006,289732.247763809,291315.166403972,286457.772624957,122.257657178678,122.257657178678,269.229945044259,122.257657178678,255074.988378053,105046.760043354,207775.291460247,189447.467866283,170441.725885721,219287.841735028,228.543843334663
"above-kaunas-1",146.972287865711,293.944575731293,228.543843334663,0,212738.766669853,214991.863457053,211906.162851983,210158.666220669,289519.874743547,289829.990142351,291412.908782514,286555.515003499,163.143110938137,163.143110938137,310.115398803616,163.143110938137,255172.730756595,105144.502421895,207873.033838788,189545.210244824,170539.468264262,219385.584113569,0
"Rusne-1",212722.59584678,212706.425023708,212641.024291311,212738.766669853,0,2253.09678720069,832.603817869442,2580.10044918384,76781.1080736949,77091.2234724985,78674.1421126614,73816.7483336463,212575.623558914,212575.623558914,212428.651271049,212575.623558914,440790.704772081,290762.476437381,393491.007854275,375163.18426031,356157.442279748,405003.558129056,212738.766669853
"Rusne-2",214975.692633981,214959.521810909,214894.121078512,214991.863457053,2253.09678720069,0,3085.70060507014,4833.19723638454,74528.0112864942,74838.1266852979,76421.0453254607,71563.6515464456,214828.720346115,214828.720346115,214681.74805825,214828.720346115,443043.801559282,293015.573224582,395744.104641476,377416.281047511,358410.539066949,407256.654916256,214991.863457053
"Rusne-3",211889.992028911,211873.821205838,211808.420473442,211906.162851983,832.603817869442,3085.70060507014,0,1861.21048087834,77613.7118915644,77923.827290368,79506.7459305309,74649.3521515157,211743.019741045,211743.019741045,211596.047453179,211743.019741045,439958.100954212,289929.872619512,392658.404036405,374330.580442441,355324.838461879,404170.954311186,211906.162851983
"Rusne-4",210142.495397596,210126.324574524,210060.923842127,210158.666220669,2580.10044918384,4833.19723638454,1861.21048087834,0,79361.2085228788,79671.3239216824,81254.2425618453,76396.8487828301,209995.523109731,209995.523109731,209848.550821865,209995.523109731,438210.604322897,288182.375988197,390910.907405091,372583.083811127,353577.341830564,402423.457679872,210158.666220669
"klaipeda-1",289503.703920475,289487.533097402,289422.132365006,289519.874743547,76781.1080736949,74528.0112864942,77613.7118915644,79361.2085228788,0,310.115398803616,1893.03403896678,3134.93051439444,289356.73163261,289356.73163261,289209.759344744,289356.73163261,517571.812845777,367543.584511077,470272.11592797,451944.292334006,432938.550353444,481784.666202751,289519.874743548
"klaipeda-4",289813.819319278,289797.648496206,289732.247763809,289829.990142351,77091.2234724985,74838.1266852979,77923.827290368,79671.3239216824,310.115398803616,0,1582.91864016316,3445.04591319806,289666.847031413,289666.847031413,289519.874743548,289666.847031413,517881.92824458,367853.69990988,470582.231326774,452254.40773281,433248.665752247,482094.781601555,289829.990142351
"klaipeda-2",291396.737959441,291380.567136369,291315.166403972,291412.908782514,78674.1421126614,76421.0453254607,79506.7459305309,81254.2425618453,1893.03403896678,1582.91864016316,0,5027.96455336091,291249.765671576,291249.765671576,291102.793383711,291249.765671576,519464.846884743,369436.618550043,472165.149966937,453837.326372972,434831.58439241,483677.700241718,291412.908782514
"klaipeda-3",286539.344180426,286523.173357354,286457.772624957,286555.515003499,73816.7483336463,71563.6515464456,74649.3521515157,76396.8487828301,3134.93051439444,3445.04591319806,5027.96455336091,0,286392.371892561,286392.371892561,286245.399604695,286392.371892561,514607.453105728,364579.224771028,467307.756187922,448979.932593957,429974.190613395,478820.306462702,286555.515003499
"below-kaunas-2",146.972287865582,244.515314357355,122.257657178678,163.143110938137,212575.623558914,214828.720346115,211743.019741045,209995.523109731,289356.73163261,289666.847031413,291249.765671576,286392.371892561,0,0,146.972287865582,0,255009.587645657,104981.359310957,207709.89072785,189382.067133886,170376.325153324,219222.441002631,163.143110938137
"below-kaunas-3",146.972287865582,244.515314357355,122.257657178678,163.143110938137,212575.623558914,214828.720346115,211743.019741045,209995.523109731,289356.73163261,289666.847031413,291249.765671576,286392.371892561,0,0,146.972287865582,0,255009.587645657,104981.359310957,207709.89072785,189382.067133886,170376.325153324,219222.441002631,163.143110938137
"below-kaunas-4",293.944575731163,391.487602222937,269.229945044259,310.115398803616,212428.651271049,214681.74805825,211596.047453179,209848.550821865,289209.759344744,289519.874743548,291102.793383711,286245.399604695,146.972287865582,146.972287865582,0,146.972287865582,254862.615357791,104834.387023091,207562.918439985,189235.094846021,170229.352865458,219075.468714766,310.115398803616
"below-kaunas-1",146.972287865582,244.515314357355,122.257657178678,163.143110938137,212575.623558914,214828.720346115,211743.019741045,209995.523109731,289356.73163261,289666.847031413,291249.765671576,286392.371892561,0,0,146.972287865582,0,255009.587645657,104981.359310957,207709.89072785,189382.067133886,170376.325153324,219222.441002631,163.143110938137
"rel_semp1",255156.559933522,255140.38911045,255074.988378053,255172.730756595,440790.704772081,443043.801559282,439958.100954212,438210.604322897,517571.812845777,517881.92824458,519464.846884743,514607.453105728,255009.587645657,255009.587645657,254862.615357791,255009.587645657,0,245532.671788715,47413.4107673705,329933.379611645,84746.9763418972,36219.7190510575,255172.730756595
"rel_semp2",105128.331598823,105112.16077575,105046.760043354,105144.502421895,290762.476437381,293015.573224582,289929.872619512,288182.375988197,367543.584511077,367853.69990988,369436.618550043,364579.224771028,104981.359310957,104981.359310957,104834.387023091,104981.359310957,245532.671788715,0,198232.974870909,88352.1513002129,160899.409296382,209745.525145689,105144.502421895
"rel_semp3",207856.863015716,207840.692192644,207775.291460247,207873.033838788,393491.007854275,395744.104641476,392658.404036405,390910.907405091,470272.11592797,470582.231326774,472165.149966937,467307.756187922,207709.89072785,207709.89072785,207562.918439985,207709.89072785,47413.4107673705,198232.974870909,0,282633.682693838,37447.2794240907,11626.2641243449,207873.033838789
"rel_semp4",189529.039421752,189512.868598679,189447.467866283,189545.210244824,375163.18426031,377416.281047511,374330.580442441,372583.083811127,451944.292334006,452254.40773281,453837.326372972,448979.932593957,189382.067133886,189382.067133886,189235.094846021,189382.067133886,329933.379611645,88352.1513002129,282633.682693838,0,245300.117119311,294146.232968618,189545.210244824
"rel_semp5",170523.297441189,170507.126618117,170441.725885721,170539.468264262,356157.442279748,358410.539066949,355324.838461879,353577.341830564,432938.550353444,433248.665752247,434831.58439241,429974.190613395,170376.325153324,170376.325153324,170229.352865458,170376.325153324,84746.9763418972,160899.409296382,37447.2794240907,245300.117119311,0,48959.8296988716,170539.468264262
"rel_semp6",219369.413290497,219353.242467424,219287.841735028,219385.584113569,405003.558129056,407256.654916256,404170.954311186,402423.457679872,481784.666202751,482094.781601555,483677.700241718,478820.306462702,219222.441002631,219222.441002631,219075.468714766,219222.441002631,36219.7190510575,209745.525145689,11626.2641243449,294146.232968618,48959.8296988716,0,219385.58411357
"rel_semp7",146.972287865711,293.944575731293,228.543843334663,0,212738.766669853,214991.863457053,211906.162851983,210158.666220669,289519.874743548,289829.990142351,291412.908782514,286555.515003499,163.143110938137,163.143110938137,310.115398803616,163.143110938137,255172.730756595,105144.502421895,207873.033838789,189545.210244824,170539.468264262,219385.58411357,0
